 Temperaturmessung
 Zeit       Temperatur
22.90min    303.77K
23.00min    307.48K
23.10min    300.61K
23.20min    306.60K
23.30min    309.39K
23.40min    305.95K
23.50min    323.64K
23.60min    282.56K
23.70min    300.70K
23.80min    333.02K
23.90min    312.51K
24.00min    315.14K
24.10min    286.82K
24.20min    313.04K
24.30min    312.04K
24.40min    330.65K
24.50min    335.25K
24.60min    276.80K
24.70min    338.71K
24.80min    264.38K
24.90min    277.15K
25.00min    310.76K
25.10min    319.65K
25.20min    301.41K
25.30min    314.56K
25.40min    275.81K
25.50min    254.79K
25.60min    300.79K
25.70min    314.08K
25.80min    323.96K
25.90min    287.86K
26.00min    305.71K
26.10min    305.12K
26.20min    297.89K
26.30min    300.65K
26.40min    296.54K
26.50min    282.47K
26.60min    279.30K
26.70min    291.18K
26.80min    266.08K
26.90min    305.70K
27.00min    297.64K
27.10min    286.76K
27.20min    285.22K
27.30min    308.44K
27.40min    307.37K
27.50min    283.98K
27.60min    297.46K
27.70min    298.74K
27.80min    291.72K
27.90min    276.04K
28.00min    295.04K
28.10min    292.85K
28.20min    289.68K
28.30min    305.22K
28.40min    312.92K
28.50min    315.80K
28.60min    284.25K
28.70min    314.58K
28.80min    286.47K
28.90min    272.64K
29.00min    295.82K
29.10min    266.10K
29.20min    290.44K
29.30min    291.75K
29.40min    282.98K
29.50min    292.23K
29.60min    305.86K
29.70min    290.73K
29.80min    313.15K
29.90min    275.11K
30.00min    278.91K
30.10min    292.32K
30.20min    281.34K
30.30min    300.17K
30.40min    265.19K
30.50min    291.58K
30.60min    291.72K
30.70min    287.21K
30.80min    290.99K
30.90min    280.17K
31.00min    276.87K
31.10min    274.91K
31.20min    295.05K
31.30min    293.97K
31.40min    295.54K
31.50min    283.17K
31.60min    300.39K
31.70min    307.43K
31.80min    274.65K
31.90min    258.82K
32.00min    287.25K
32.10min    295.31K
32.20min    266.14K
32.30min    293.75K
32.40min    274.30K
32.50min    278.17K
32.60min    302.19K
32.70min    271.95K
32.80min    295.77K
32.90min    283.87K
33.00min    289.53K
33.10min    264.84K
33.20min    276.91K
33.30min    280.58K
33.40min    283.86K
33.50min    289.14K
33.60min    271.45K
33.70min    276.51K
33.80min    282.43K
33.90min    286.85K
34.00min    278.80K
34.10min    283.87K
34.20min    283.72K
34.30min    251.23K
34.40min    272.12K
34.50min    281.42K
34.60min    294.19K
34.70min    289.97K
34.80min    287.25K
34.90min    299.50K
35.00min    280.23K
35.10min    324.74K
35.20min    281.43K
35.30min    277.82K
35.40min    265.28K
35.50min    278.74K
35.60min    283.95K
35.70min    305.10K
35.80min    270.43K
35.90min    267.63K
36.00min    308.71K
36.10min    282.98K
36.20min    266.36K
36.30min    294.48K
36.40min    289.64K
36.50min    279.11K
36.60min    287.94K
36.70min    285.91K
36.80min    254.62K
36.90min    263.08K
37.00min    307.83K
37.10min    271.06K
37.20min    297.00K
37.30min    304.92K
37.40min    291.22K
37.50min    295.17K
37.60min    278.87K
37.70min    270.73K
37.80min    266.34K
37.90min    286.69K
38.00min    276.06K
38.10min    268.64K
38.20min    287.52K
38.30min    272.98K
38.40min    255.93K
38.50min    274.24K
38.60min    273.69K
38.70min    272.81K
38.80min    280.03K
38.90min    283.44K
39.00min    276.85K
39.10min    270.65K
39.20min    266.90K
39.30min    295.04K
39.40min    278.25K
39.50min    285.22K
39.60min    278.82K
39.70min    272.13K
39.80min    251.16K
39.90min    258.50K
40.00min    263.14K
40.10min    264.84K
40.20min    254.94K
40.30min    296.93K
40.40min    288.58K
40.50min    274.58K
40.60min    259.74K
40.70min    290.33K
40.80min    287.32K
40.90min    287.06K
41.00min    278.97K
41.10min    303.04K
41.20min    275.75K
41.30min    284.50K
41.40min    282.48K
41.50min    250.75K
41.60min    275.53K
41.70min    267.25K
41.80min    267.18K
41.90min    282.31K
42.00min    273.83K
42.10min    262.04K
42.20min    294.72K
42.30min    271.72K
42.40min    275.15K
42.50min    264.70K
42.60min    292.37K
42.70min    281.11K
42.80min    275.43K
42.90min    256.96K
43.00min    295.61K
43.10min    272.41K
43.20min    300.16K
43.30min    268.83K
43.40min    278.44K
43.50min    257.70K
43.60min    264.12K
43.70min    268.80K
43.80min    310.67K
43.90min    278.75K
44.00min    274.48K
44.10min    286.94K
44.20min    277.13K
44.30min    261.90K
44.40min    260.58K
44.50min    268.90K
44.60min    285.15K
44.70min    255.42K
44.80min    251.15K
44.90min    291.12K
45.00min    283.31K
45.10min    279.23K
45.20min    277.14K
45.30min    255.17K
45.40min    260.81K
45.50min    277.19K
45.60min    293.39K
45.70min    266.41K
45.80min    255.89K
45.90min    276.48K
46.00min    277.22K
46.10min    292.81K
46.20min    269.58K
46.30min    278.02K
46.40min    301.55K
46.50min    264.03K
46.60min    295.86K
46.70min    267.73K
46.80min    267.43K
46.90min    298.77K
47.00min    246.73K
47.10min    269.61K
47.20min    289.69K
47.30min    277.45K
47.40min    264.03K
47.50min    281.04K
47.60min    261.48K
47.70min    261.89K
47.80min    289.40K
47.90min    276.68K
48.00min    272.08K
48.10min    257.07K
48.20min    279.67K
48.30min    260.28K
48.40min    289.37K
48.50min    263.15K
48.60min    248.35K
48.70min    280.08K
48.80min    239.30K
48.90min    273.31K
49.00min    261.24K
49.10min    285.15K
49.20min    256.83K
49.30min    284.69K
49.40min    267.63K
49.50min    270.65K
49.60min    284.12K
49.70min    278.31K
49.80min    274.49K
49.90min    287.75K
50.00min    276.26K
50.10min    259.01K
50.20min    300.59K
50.30min    277.81K
50.40min    272.25K
50.50min    294.72K
50.60min    289.40K
50.70min    283.67K
50.80min    269.65K
50.90min    253.73K
51.00min    278.19K
51.10min    267.66K
51.20min    314.27K
51.30min    253.04K
51.40min    254.53K
51.50min    266.81K
51.60min    290.15K
51.70min    294.76K
51.80min    291.87K
51.90min    261.88K
52.00min    291.74K
52.10min    258.11K
52.20min    280.98K
52.30min    264.84K
52.40min    297.25K
52.50min    261.76K
52.60min    288.86K
52.70min    260.44K
52.80min    276.96K
52.90min    272.24K
53.00min    280.16K
53.10min    248.45K
53.20min    259.88K
53.30min    250.43K
53.40min    267.78K
53.50min    287.76K
53.60min    255.91K
53.70min    247.00K
53.80min    266.91K
53.90min    254.28K
54.00min    275.60K
54.10min    262.57K
54.20min    241.80K
54.30min    255.50K
54.40min    292.39K
54.50min    286.60K
54.60min    284.42K
54.70min    291.20K
54.80min    261.15K
54.90min    273.79K
55.00min    268.16K
55.10min    276.08K
55.20min    260.56K
55.30min    264.12K
55.40min    268.28K
55.50min    268.32K
55.60min    282.95K
55.70min    274.81K
55.80min    263.27K
55.90min    267.70K
56.00min    265.33K
56.10min    270.97K
56.20min    260.38K
56.30min    272.87K
56.40min    262.56K
56.50min    284.13K
56.60min    259.27K
56.70min    276.42K
56.80min    279.43K
56.90min    274.56K
57.00min    275.27K
57.10min    273.05K
57.20min    265.43K
57.30min    273.45K
57.40min    283.73K
57.50min    255.98K
57.60min    269.14K
57.70min    271.12K
57.80min    275.05K
57.90min    265.36K
58.00min    285.20K
58.10min    258.33K
58.20min    273.65K
58.30min    298.73K
58.40min    267.44K
58.50min    278.27K
58.60min    285.71K
58.70min    273.74K
58.80min    284.59K
58.90min    274.81K
59.00min    277.76K
59.10min    275.86K
59.20min    282.85K
59.30min    281.22K
59.40min    282.45K
59.50min    274.99K
59.60min    249.69K
59.70min    271.70K
59.80min    300.73K
59.90min    265.97K
60.00min    289.81K
60.10min    258.05K
60.20min    265.37K
60.30min    259.92K
60.40min    283.44K
60.50min    276.47K
60.60min    280.85K
60.70min    266.23K
60.80min    276.62K
60.90min    271.00K
61.00min    254.61K
61.10min    251.81K
61.20min    238.59K
61.30min    262.98K
61.40min    257.30K
61.50min    250.98K
61.60min    262.39K
61.70min    270.57K
61.80min    260.00K
61.90min    271.36K
62.00min    288.69K
62.10min    274.32K
62.20min    271.63K
62.30min    276.19K
62.40min    258.49K
62.50min    274.29K
62.60min    291.58K
62.70min    267.63K
62.80min    269.49K
62.90min    253.44K
63.00min    279.33K
63.10min    313.92K
63.20min    259.29K
63.30min    240.50K
63.40min    266.44K
63.50min    263.97K
63.60min    268.83K
63.70min    250.21K
63.80min    236.63K
63.90min    267.89K
64.00min    282.11K
64.10min    278.03K
64.20min    283.79K
64.30min    257.02K
64.40min    284.66K
64.50min    251.33K
64.60min    262.21K
64.70min    296.35K
64.80min    274.31K
64.90min    274.32K
65.00min    279.14K
65.10min    266.46K
65.20min    265.57K
65.30min    267.32K
65.40min    290.33K
65.50min    275.54K
65.60min    257.56K
65.70min    306.72K
65.80min    267.08K
65.90min    270.69K
66.00min    260.44K
66.10min    261.59K
66.20min    264.12K
66.30min    258.27K
66.40min    260.24K
66.50min    285.12K
66.60min    258.24K
66.70min    264.71K
66.80min    263.19K
66.90min    283.55K
67.00min    255.61K
67.10min    270.85K
67.20min    277.80K
67.30min    282.17K
67.40min    267.16K
67.50min    268.23K
67.60min    247.20K
67.70min    274.80K
67.80min    264.63K
67.90min    265.30K
68.00min    289.99K
68.10min    268.87K
68.20min    269.56K
68.30min    270.11K
68.40min    260.08K
68.50min    246.47K
68.60min    267.46K
68.70min    261.44K
68.80min    268.73K
68.90min    247.46K
69.00min    249.88K
69.10min    260.27K
69.20min    288.16K
69.30min    267.94K
69.40min    275.46K
69.50min    261.83K
69.60min    276.15K
69.70min    274.14K
69.80min    259.57K
69.90min    268.10K
70.00min    235.64K
70.10min    276.81K
70.20min    266.74K
70.30min    259.81K
70.40min    268.02K
70.50min    274.84K
70.60min    271.28K
70.70min    271.02K
70.80min    266.56K
70.90min    246.74K
71.00min    272.31K
71.10min    250.10K
71.20min    256.85K
71.30min    270.42K
71.40min    254.79K
71.50min    259.48K
71.60min    284.12K
71.70min    251.19K
71.80min    278.91K
71.90min    271.99K
72.00min    289.90K
72.10min    266.11K
72.20min    305.63K
72.30min    262.75K
72.40min    257.07K
72.50min    273.64K
72.60min    264.60K
72.70min    276.85K
72.80min    249.99K
72.90min    265.30K
73.00min    263.30K
73.10min    297.90K
73.20min    252.77K
73.30min    256.57K
73.40min    275.20K
73.50min    259.92K
73.60min    260.56K
73.70min    259.63K
73.80min    266.71K
73.90min    278.95K
74.00min    287.68K
74.10min    290.10K
74.20min    268.71K
74.30min    257.85K
74.40min    271.05K
74.50min    280.06K
74.60min    253.60K
74.70min    267.05K
74.80min    271.63K
74.90min    303.42K
75.00min    279.68K
75.10min    269.13K
75.20min    277.95K
75.30min    246.27K
75.40min    282.10K
75.50min    243.54K
75.60min    263.05K
75.70min    242.98K
75.80min    265.55K
75.90min    260.95K
76.00min    265.77K
76.10min    280.28K
76.20min    276.94K
76.30min    300.21K
76.40min    282.95K
76.50min    273.70K
76.60min    269.75K
76.70min    274.18K
76.80min    271.61K
76.90min    269.01K
77.00min    280.16K
77.10min    269.99K
77.20min    268.42K
77.30min    280.98K
77.40min    296.83K
77.50min    263.59K
77.60min    256.09K
77.70min    282.00K
77.80min    273.24K
77.90min    268.77K
78.00min    265.49K
78.10min    289.88K
78.20min    260.08K
78.30min    271.39K
78.40min    247.58K
78.50min    263.16K
78.60min    297.80K
78.70min    276.25K
78.80min    260.69K
78.90min    282.38K
79.00min    265.88K
79.10min    258.29K
79.20min    255.47K
79.30min    270.15K
79.40min    266.67K
79.50min    285.11K
79.60min    264.42K
79.70min    260.09K
79.80min    240.61K
79.90min    303.88K
80.00min    268.57K
80.10min    273.64K
80.20min    269.03K
80.30min    271.79K
80.40min    272.24K
80.50min    255.63K
80.60min    281.44K
80.70min    277.32K
80.80min    265.69K
80.90min    267.59K
81.00min    263.33K
81.10min    286.99K
81.20min    282.30K
81.30min    261.98K
81.40min    276.27K
81.50min    279.98K
81.60min    285.38K
81.70min    287.47K
81.80min    258.07K
81.90min    277.57K
82.00min    263.65K
82.10min    262.04K
82.20min    248.69K
82.30min    276.64K
82.40min    262.32K
82.50min    253.34K
82.60min    267.45K
82.70min    254.71K
82.80min    257.73K
82.90min    255.90K
83.00min    268.79K
83.10min    259.37K
83.20min    254.58K
83.30min    282.12K
83.40min    260.72K
83.50min    248.55K
83.60min    295.22K
83.70min    277.47K
83.80min    281.09K
83.90min    260.32K
84.00min    284.78K
84.10min    267.97K
84.20min    255.89K
84.30min    281.17K
84.40min    244.96K
84.50min    287.79K
84.60min    266.32K
84.70min    278.99K
84.80min    265.05K
84.90min    269.52K
85.00min    234.56K
85.10min    250.10K
85.20min    299.34K
85.30min    239.35K
85.40min    258.75K
85.50min    275.41K
85.60min    274.07K
85.70min    262.53K
85.80min    288.39K
85.90min    271.14K
86.00min    263.54K
86.10min    278.94K
86.20min    273.96K
86.30min    276.64K
86.40min    252.46K
86.50min    280.21K
86.60min    266.15K
86.70min    261.86K
86.80min    295.75K
86.90min    260.84K
87.00min    271.30K
87.10min    265.24K
87.20min    257.63K
87.30min    266.90K
87.40min    293.93K
87.50min    262.31K
87.60min    269.70K
87.70min    293.71K
87.80min    272.28K
87.90min    280.43K
88.00min    268.78K
88.10min    268.32K
88.20min    239.37K
88.30min    278.37K
88.40min    281.15K
88.50min    260.46K
88.60min    285.95K
88.70min    267.82K
88.80min    256.84K
88.90min    240.94K
89.00min    257.19K
89.10min    264.75K
89.20min    283.18K
89.30min    296.66K
89.40min    277.87K
89.50min    271.99K
89.60min    252.26K
89.70min    267.08K
89.80min    264.21K
89.90min    247.66K
90.00min    275.88K
90.10min    264.93K
90.20min    276.56K
90.30min    247.00K
90.40min    245.95K
90.50min    287.11K
90.60min    262.34K
90.70min    268.17K
90.80min    270.89K
90.90min    236.67K
91.00min    256.01K
91.10min    271.67K
91.20min    234.01K
91.30min    270.18K
91.40min    286.24K
91.50min    255.91K
91.60min    277.04K
91.70min    276.31K
91.80min    284.98K
91.90min    287.02K
92.00min    283.24K
92.10min    285.23K
92.20min    282.75K
92.30min    287.35K
92.40min    283.47K
92.50min    291.97K
92.60min    261.00K
92.70min    263.22K
92.80min    268.70K
92.90min    232.08K
93.00min    294.05K
93.10min    272.12K
93.20min    281.72K
93.30min    258.49K
93.40min    251.98K
93.50min    277.23K
93.60min    251.25K
93.70min    265.49K
93.80min    276.00K
93.90min    258.74K
94.00min    277.34K
94.10min    276.10K
94.20min    281.70K
94.30min    277.93K
94.40min    239.84K
94.50min    273.15K
94.60min    271.84K
94.70min    278.08K
94.80min    263.12K
94.90min    253.61K
95.00min    260.25K
95.10min    266.78K
95.20min    291.49K
95.30min    255.54K
95.40min    249.86K
95.50min    271.40K
95.60min    264.45K
95.70min    290.46K
95.80min    270.88K
95.90min    276.64K
96.00min    257.64K
96.10min    291.65K
96.20min    295.83K
96.30min    257.06K
96.40min    278.89K
96.50min    280.89K
96.60min    252.02K
96.70min    270.03K
96.80min    272.18K
96.90min    272.79K
97.00min    292.57K
97.10min    284.89K
97.20min    269.82K
97.30min    264.90K
97.40min    250.21K
97.50min    288.08K
97.60min    261.19K
97.70min    258.95K
97.80min    257.16K
97.90min    285.74K
98.00min    245.20K
98.10min    270.94K
98.20min    257.26K
98.30min    273.50K
98.40min    288.54K
98.50min    269.76K
98.60min    283.23K
98.70min    278.89K
98.80min    249.16K
98.90min    269.28K
99.00min    280.94K
99.10min    267.54K
99.20min    238.18K
99.30min    278.43K
99.40min    267.19K
99.50min    266.96K
99.60min    280.00K
99.70min    274.42K
99.80min    256.75K
99.90min    272.06K
