X-values,X-error,Y-values,Y-error
6.5,0.1,-0.7318935907581228,0.1
6.6,0.1,-0.36191496924181255,0.1
6.7,0.1,-0.7743419874425475,0.1
6.8,0.1,-0.8231218867347587,0.1
6.9,0.1,-0.7778930059676221,0.1
7.0,0.1,-0.8437185108853494,0.1
7.1,0.1,-0.9418994165876878,0.1
7.2,0.1,-0.6153709031086941,0.1
7.3,0.1,-0.8769383127229626,0.1
7.4,0.1,-0.8346863245629316,0.1
7.5,0.1,-1.1674834211848122,0.1
7.6,0.1,-1.122785162528027,0.1
7.7,0.1,-0.8772267367916603,0.1
7.8,0.1,-0.9976219939573117,0.1
7.9,0.1,-0.9770678648706113,0.1
8.0,0.1,-0.9290075656225771,0.1
8.1,0.1,-0.5412307754250718,0.1
8.2,0.1,-0.9625019694204093,0.1
8.3,0.1,-0.5510922301661613,0.1
8.4,0.1,-0.9579537540420986,0.1
8.5,0.1,-0.6356715289013347,0.1
8.6,0.1,-1.0916648864884568,0.1
8.7,0.1,-1.0004533056405367,0.1
8.8,0.1,-0.9631815120575778,0.1
8.9,0.1,-0.46968817077618863,0.1
9.0,0.1,-0.8249601120963261,0.1
9.1,0.1,-0.35807002044035824,0.1
9.2,0.1,-1.1119182266558936,0.1
9.3,0.1,0.21272267639336523,0.1
9.4,0.1,-0.3228285062721068,0.1
9.5,0.1,-0.021893382591975135,0.1
9.6,0.1,0.6002099151748137,0.1
9.7,0.1,-0.06033491839461777,0.1
9.8,0.1,-0.8085427625524504,0.1
9.9,0.1,-0.1033863695286113,0.1
