Messung Nr,Photonen
403,28
404,21
405,27
406,34
407,38
408,22
409,31
410,21
411,39
412,28
413,19
414,33
415,28
416,49
417,45
418,45
419,22
420,33
421,26
422,35
423,35
424,27
425,25
426,34
427,31
428,43
429,43
430,39
431,30
432,27
433,36
434,40
435,40
436,34
437,53
438,46
439,36
440,32
441,2
442,52
443,23
444,49
445,23
446,44
447,32
448,44
449,27
450,46
451,34
452,41
453,32
454,39
455,28
456,37
457,49
458,34
459,31
460,45
461,18
462,35
463,45
464,36
465,20
466,28
467,25
468,30
469,36
470,43
471,46
472,35
473,36
474,33
475,26
476,35
477,30
478,18
479,23
480,37
481,30
482,29
483,29
484,45
485,29
486,39
487,39
488,41
489,38
490,32
491,35
492,30
493,29
494,20
495,29
496,40
497,40
498,50
499,24
500,32
501,43
502,45
503,37
504,28
505,33
506,34
507,42
508,29
509,43
510,36
511,40
512,36
513,31
514,36
515,34
516,41
517,39
518,24
519,31
520,43
521,36
522,22
523,40
524,36
525,27
526,41
527,21
528,42
529,34
530,51
531,36
532,26
533,36
534,19
535,20
536,29
537,31
538,35
539,63
540,4
541,39
542,36
543,30
544,45
545,29
546,33
547,40
548,47
549,33
550,29
551,22
552,54
553,45
554,30
555,33
556,41
557,47
558,27
559,57
560,28
561,41
562,28
563,32
564,37
565,26
566,27
567,39
568,57
569,33
570,27
571,33
572,18
573,30
574,22
575,43
576,35
577,58
578,52
579,27
580,32
581,23
582,20
583,20
584,31
585,20
586,43
587,46
588,30
589,18
590,47
591,37
592,47
593,34
594,21
595,48
596,31
597,29
598,31
599,30
600,44
601,34
602,54
603,50
604,31
605,35
606,41
607,28
608,15
609,50
610,39
611,28
612,49
613,31
614,40
615,33
616,43
617,41
618,41
619,35
620,50
621,47
622,48
623,29
624,10
625,39
626,17
627,31
628,40
629,42
630,43
631,29
632,44
633,26
634,54
635,37
636,35
637,41
638,40
639,48
640,44
641,41
642,37
643,36
644,37
645,8
646,37
647,32
648,34
649,28
650,32
651,21
652,45
653,47
654,17
655,16
656,24
657,31
658,45
659,34
660,33
661,26
662,31
663,33
664,34
665,37
666,38
667,29
668,27
669,29
670,40
671,29
672,17
673,38
674,49
675,43
676,37
677,25
678,42
679,43
680,41
681,54
682,35
683,23
684,52
685,27
686,33
687,40
688,26
689,40
690,34
691,18
692,46
693,49
694,31
695,37
696,46
697,35
698,24
699,35
700,24
701,43
702,30
703,32
704,27
705,34
706,28
707,33
708,28
709,52
710,45
711,25
712,32
713,42
714,26
715,42
716,40
717,49
718,30
719,51
720,46
721,47
722,37
723,50
724,26
725,62
726,38
727,38
728,48
729,30
730,42
731,50
732,32
733,54
734,12
735,47
736,24
737,35
738,13
739,33
740,33
741,25
742,47
743,33
744,49
745,27
746,39
747,29
748,35
749,28
750,29
751,31
752,27
753,37
754,16
755,37
756,46
757,43
758,46
759,33
760,48
761,15
762,30
763,37
764,59
765,32
766,45
767,21
768,50
769,48
770,31
771,29
772,31
773,51
774,21
775,51
776,43
777,24
778,55
779,13
780,48
781,35
782,43
783,47
784,40
785,32
786,29
787,50
788,31
789,35
790,24
791,19
792,35
793,55
794,24
795,40
796,40
797,44
798,29
799,33
800,29
801,39
802,29
803,22
804,24
805,54
806,39
807,37
808,22
809,26
810,21
811,49
812,21
813,41
814,18
815,20
816,37
817,23
818,20
819,24
820,18
821,23
822,38
823,39
824,36
825,42
826,23
827,30
828,36
829,29
830,46
831,27
832,47
833,23
834,31
835,57
836,30
837,27
838,41
839,24
840,56
841,27
842,46
843,28
844,35
845,23
846,33
847,30
848,40
849,32
850,27
851,49
852,43
853,49
854,37
855,25
856,23
857,50
858,35
859,22
860,34
861,40
862,48
863,51
864,50
865,41
866,33
867,30
868,47
869,36
870,35
871,20
872,36
873,22
874,27
875,28
876,36
877,45
878,42
879,37
880,40
881,28
882,35
883,44
884,45
885,42
886,22
887,49
888,48
889,36
890,25
891,49
892,32
893,35
894,24
895,41
896,8
897,9
898,17
899,41
900,34
901,29
902,34
903,42
904,34
905,36
906,20
907,54
908,36
909,50
910,46
911,31
912,41
913,44
914,33
915,39
916,30
917,48
918,31
919,57
920,40
921,40
922,29
923,24
924,39
925,26
926,36
927,20
928,38
929,46
930,34
931,34
932,57
933,43
934,34
935,30
936,38
937,37
938,43
939,43
940,12
941,50
942,35
943,34
944,27
945,30
946,33
947,47
948,28
949,38
950,55
951,56
952,36
953,40
954,53
955,38
956,35
957,48
958,42
959,19
960,37
961,30
962,33
963,16
964,42
965,27
966,48
967,37
968,24
969,24
970,36
971,46
972,21
973,30
974,46
975,30
976,48
977,58
978,35
979,35
980,33
981,53
982,30
983,41
984,47
985,34
986,34
987,32
988,26
989,46
990,43
991,31
992,41
993,32
994,30
995,59
996,36
997,31
998,40
999,35
