#Funktionen
#        x,    Func 1,    Func 2,    Func 3
 5.3000000, 0.0000000, 0.0054750, 0.0000975
 5.4000000, 0.0000000, 0.0054492, 0.0000938
 5.5000000, 0.0000000, 0.0052963,          
 5.6000000, 0.0000000, 0.0059663, 0.0001044
 5.7000000, 0.0000000,          , 0.0001153
 5.8000000, 0.0000000,          , 0.0001088
 5.9000000, 0.0000000, 0.0061368, 0.0001136
 6.0000000, 0.0000000, 0.0050997, 0.0001290
 6.1000000, 0.0000000, 0.0052952, 0.0001295
 6.2000000, 0.0000000, 0.0055876, 0.0001345
 6.3000000, 0.0000000, 0.0054813, 0.0001397
 6.4000000, 0.0000000, 0.0061412, 0.0001423
 6.5000000,          , 0.0058285,          
 6.6000000, 0.0000000, 0.0052338, 0.0001431
 6.7000000, 0.0000000, 0.0058643, 0.0001601
 6.8000000,          , 0.0052827, 0.0001611
 6.9000000, 0.0000000,          , 0.0001651
 7.0000000, 0.0000000, 0.0057184, 0.0001700
 7.1000000, 0.0000000, 0.0055478, 0.0001842
 7.2000000, 0.0000000, 0.0051315,          
 7.3000000, 0.0000000, 0.0064450, 0.0001818
 7.4000000, 0.0000000, 0.0053207, 0.0001993
 7.5000000, 0.0000000, 0.0052593, 0.0002233
 7.6000000, 0.0000000, 0.0052425, 0.0002170
 7.7000000, 0.0000000, 0.0057543, 0.0002130
 7.8000000, 0.0000000,          , 0.0002426
 7.9000000, 0.0000001, 0.0061077, 0.0001988
 8.0000000, 0.0000001, 0.0050414, 0.0002455
 8.1000000, 0.0000001,          , 0.0002654
 8.2000000, 0.0000001, 0.0056141, 0.0002367
 8.3000000,          , 0.0051351, 0.0002496
 8.4000000, 0.0000001, 0.0056945, 0.0002492
 8.5000000, 0.0000001, 0.0057636, 0.0002749
 8.6000000,          , 0.0055498, 0.0002809
 8.7000000, 0.0000001, 0.0055855, 0.0003143
 8.8000000, 0.0000001, 0.0056131, 0.0003099
 8.9000000, 0.0000001, 0.0053828, 0.0003462
 9.0000000, 0.0000001, 0.0058194, 0.0003264
 9.1000000, 0.0000001, 0.0057311, 0.0003490
 9.2000000, 0.0000001, 0.0059927, 0.0003417
 9.3000000, 0.0000001,          , 0.0003606
 9.4000000, 0.0000001, 0.0053971, 0.0003913
 9.5000000, 0.0000001,          , 0.0003918
 9.6000000, 0.0000001, 0.0056164, 0.0003998
 9.7000000, 0.0000001, 0.0061432, 0.0003854
 9.8000000, 0.0000001, 0.0057324, 0.0004030
 9.9000000, 0.0000001, 0.0057375, 0.0004422
10.0000000, 0.0000001, 0.0063064, 0.0004250
10.1000000, 0.0000002, 0.0054013, 0.0004861
10.2000000, 0.0000002, 0.0060297, 0.0004794
10.3000000,          , 0.0058471, 0.0004770
10.4000000, 0.0000002, 0.0059740,          
10.5000000, 0.0000002, 0.0059956, 0.0004935
10.6000000, 0.0000002, 0.0056286,          
10.7000000, 0.0000002, 0.0057610, 0.0005471
10.8000000, 0.0000002, 0.0060362, 0.0005862
10.9000000, 0.0000002, 0.0060879, 0.0005574
11.0000000, 0.0000002, 0.0057620, 0.0005625
11.1000000, 0.0000003, 0.0058185, 0.0006244
11.2000000, 0.0000003, 0.0061779, 0.0006905
11.3000000, 0.0000003, 0.0063056, 0.0006148
11.4000000, 0.0000003, 0.0060250, 0.0006456
11.5000000, 0.0000003, 0.0060140, 0.0006479
11.6000000, 0.0000003,          , 0.0006806
11.7000000, 0.0000004, 0.0059687, 0.0007418
11.8000000, 0.0000004, 0.0061837, 0.0007099
11.9000000, 0.0000004, 0.0060750, 0.0008133
12.0000000, 0.0000004, 0.0058057, 0.0007990
12.1000000,          , 0.0057026, 0.0007859
12.2000000, 0.0000004, 0.0062391, 0.0007911
12.3000000, 0.0000005, 0.0060303, 0.0008737
12.4000000, 0.0000005, 0.0062799, 0.0008520
12.5000000, 0.0000005,          ,          
12.6000000, 0.0000006, 0.0057115, 0.0008915
12.7000000, 0.0000006, 0.0062967, 0.0008905
12.8000000, 0.0000006, 0.0063216, 0.0009398
12.9000000, 0.0000006,          , 0.0009828
13.0000000, 0.0000006, 0.0056904, 0.0010793
13.1000000, 0.0000007, 0.0061368, 0.0010440
13.2000000,          , 0.0062949, 0.0011689
13.3000000, 0.0000007, 0.0062327, 0.0011326
13.4000000, 0.0000007, 0.0065463, 0.0012143
13.5000000, 0.0000008, 0.0060617, 0.0011980
13.6000000, 0.0000009, 0.0064777, 0.0013256
13.7000000, 0.0000009, 0.0058351, 0.0011523
13.8000000, 0.0000009, 0.0066979, 0.0013279
13.9000000, 0.0000009, 0.0063602,          
14.0000000, 0.0000011, 0.0062659, 0.0013435
14.1000000, 0.0000010, 0.0059159,          
14.2000000, 0.0000011, 0.0062957, 0.0014042
14.3000000, 0.0000013, 0.0063167, 0.0014185
14.4000000, 0.0000012, 0.0062848, 0.0015242
14.5000000, 0.0000013, 0.0064092, 0.0014767
14.6000000, 0.0000015, 0.0064902, 0.0014388
14.7000000, 0.0000013, 0.0063887, 0.0016572
14.8000000, 0.0000015, 0.0065434, 0.0016938
14.9000000, 0.0000015,          , 0.0017660
15.0000000, 0.0000016, 0.0063116, 0.0018190
15.1000000, 0.0000017, 0.0058401, 0.0017404
15.2000000, 0.0000018, 0.0061541, 0.0018475
15.3000000,          , 0.0058450,          
15.4000000, 0.0000019, 0.0059510, 0.0019300
15.5000000, 0.0000021, 0.0064293, 0.0019130
15.6000000, 0.0000022, 0.0064329,          
15.7000000, 0.0000021,          , 0.0019547
15.8000000, 0.0000022, 0.0060782, 0.0022477
15.9000000, 0.0000024, 0.0061580, 0.0022332
16.0000000, 0.0000024, 0.0060429, 0.0023140
16.1000000, 0.0000027, 0.0069913, 0.0023189
16.2000000, 0.0000030, 0.0065316, 0.0022059
16.3000000, 0.0000026, 0.0062295,          
16.4000000, 0.0000029, 0.0061562, 0.0025263
16.5000000, 0.0000034, 0.0069527, 0.0024865
16.6000000, 0.0000030, 0.0060277, 0.0024709
16.7000000, 0.0000037, 0.0067823,          
16.8000000,          , 0.0063067, 0.0023947
16.9000000, 0.0000039, 0.0054887, 0.0030173
17.0000000, 0.0000040,          , 0.0031158
17.1000000, 0.0000042, 0.0059912,          
17.2000000, 0.0000044, 0.0066043,          
17.3000000, 0.0000045,          , 0.0031580
17.4000000, 0.0000049, 0.0067039, 0.0030116
17.5000000,          ,          ,          
17.6000000, 0.0000049, 0.0064224, 0.0031172
17.7000000, 0.0000052, 0.0067872, 0.0031432
17.8000000,          , 0.0067911, 0.0033101
17.9000000, 0.0000057, 0.0060481, 0.0035518
18.0000000, 0.0000060, 0.0063598, 0.0033657
18.1000000, 0.0000060, 0.0064185,          
18.2000000, 0.0000065, 0.0061164,          
18.3000000, 0.0000061,          , 0.0038825
18.4000000,          , 0.0066934, 0.0036689
18.5000000, 0.0000072, 0.0068135, 0.0038754
18.6000000, 0.0000071, 0.0061248,          
18.7000000, 0.0000086,          , 0.0040957
18.8000000, 0.0000081, 0.0064083, 0.0042940
18.9000000, 0.0000087,          , 0.0044339
19.0000000, 0.0000084, 0.0065893, 0.0044889
19.1000000, 0.0000092, 0.0065211, 0.0044446
19.2000000, 0.0000103,          , 0.0046605
19.3000000, 0.0000098, 0.0062379, 0.0044462
19.4000000, 0.0000100, 0.0065907, 0.0044651
19.5000000, 0.0000109, 0.0071872,          
19.6000000, 0.0000116, 0.0071524, 0.0048026
19.7000000, 0.0000121, 0.0069657, 0.0046620
19.8000000,          , 0.0067724, 0.0052843
19.9000000, 0.0000126, 0.0068077, 0.0050315
20.0000000, 0.0000128, 0.0066718, 0.0050595
20.1000000, 0.0000134, 0.0060469, 0.0060811
20.2000000, 0.0000151,          , 0.0054882
20.3000000, 0.0000151, 0.0067585, 0.0059888
20.4000000, 0.0000163, 0.0067086, 0.0061537
20.5000000, 0.0000163,          , 0.0064952
20.6000000, 0.0000173, 0.0067428, 0.0066565
20.7000000, 0.0000176, 0.0070215, 0.0059282
20.8000000,          , 0.0070055, 0.0069245
20.9000000, 0.0000173,          , 0.0065014
21.0000000, 0.0000211,          , 0.0062445
21.1000000,          , 0.0068172,          
21.2000000, 0.0000221, 0.0071196, 0.0071755
21.3000000, 0.0000222, 0.0064931, 0.0064574
21.4000000, 0.0000248, 0.0060600,          
21.5000000, 0.0000252, 0.0066270, 0.0076253
21.6000000,          , 0.0067039, 0.0070741
21.7000000, 0.0000273, 0.0072691, 0.0079778
21.8000000, 0.0000272, 0.0066295,          
21.9000000, 0.0000272, 0.0070298, 0.0075929
22.0000000, 0.0000306, 0.0068130, 0.0076610
22.1000000, 0.0000311, 0.0068158, 0.0077055
22.2000000, 0.0000310, 0.0068519, 0.0075008
22.3000000, 0.0000296, 0.0066523, 0.0081139
22.4000000, 0.0000355, 0.0071959, 0.0086713
22.5000000,          , 0.0074116, 0.0078089
22.6000000, 0.0000372, 0.0064806, 0.0089220
22.7000000, 0.0000381, 0.0069495, 0.0095280
22.8000000, 0.0000425, 0.0067515, 0.0085274
22.9000000, 0.0000431, 0.0070613, 0.0087797
23.0000000, 0.0000435, 0.0071280, 0.0092495
23.1000000, 0.0000483, 0.0068430, 0.0085936
23.2000000, 0.0000459, 0.0072984, 0.0096100
23.3000000, 0.0000495, 0.0074935, 0.0101669
23.4000000, 0.0000488, 0.0063716, 0.0098962
23.5000000, 0.0000539, 0.0064914, 0.0107491
23.6000000,          ,          , 0.0103068
23.7000000, 0.0000543, 0.0063570,          
23.8000000,          , 0.0065494, 0.0108096
23.9000000, 0.0000572, 0.0076009, 0.0108982
24.0000000, 0.0000638, 0.0068877, 0.0115498
24.1000000, 0.0000619, 0.0071695, 0.0112872
24.2000000, 0.0000642, 0.0070198, 0.0116130
24.3000000, 0.0000701, 0.0071155, 0.0112804
24.4000000, 0.0000691, 0.0071545, 0.0108629
24.5000000, 0.0000701, 0.0066066, 0.0116070
24.6000000, 0.0000689, 0.0067551, 0.0123671
24.7000000, 0.0000775, 0.0076048, 0.0125985
24.8000000, 0.0000755, 0.0073440,          
24.9000000, 0.0000834, 0.0067443, 0.0127051
25.0000000,          , 0.0072041, 0.0133575
25.1000000, 0.0000841, 0.0069742,          
25.2000000, 0.0001053, 0.0070350, 0.0127178
25.3000000, 0.0000931, 0.0069060, 0.0146914
25.4000000, 0.0001001,          , 0.0140361
25.5000000,          , 0.0063634,          
25.6000000, 0.0001069, 0.0074658,          
25.7000000,          , 0.0068568, 0.0133311
25.8000000, 0.0001139, 0.0073680, 0.0134600
25.9000000, 0.0001259, 0.0070258, 0.0151841
26.0000000, 0.0001186, 0.0073152, 0.0149731
26.1000000, 0.0001389, 0.0077543, 0.0153251
26.2000000, 0.0001265, 0.0067168, 0.0170790
26.3000000, 0.0001336, 0.0066483, 0.0153171
26.4000000, 0.0001418, 0.0069711, 0.0148122
26.5000000, 0.0001368, 0.0066889, 0.0165045
26.6000000, 0.0001464, 0.0063125, 0.0181277
26.7000000, 0.0001516, 0.0073145, 0.0163091
26.8000000, 0.0001489, 0.0073542,          
26.9000000, 0.0001597,          , 0.0173623
27.0000000,          , 0.0076399,          
27.1000000,          , 0.0069502,          
27.2000000, 0.0001803, 0.0072225, 0.0177085
27.3000000, 0.0001928, 0.0069662, 0.0178224
27.4000000, 0.0002009, 0.0067905, 0.0183667
27.5000000, 0.0002140,          , 0.0191453
27.6000000, 0.0002048, 0.0077165, 0.0184815
27.7000000, 0.0002145, 0.0078210, 0.0202814
27.8000000, 0.0002100,          , 0.0183688
27.9000000, 0.0002342, 0.0065014, 0.0163482
28.0000000, 0.0002395, 0.0070837, 0.0190347
28.1000000, 0.0002138, 0.0075546, 0.0200070
28.2000000, 0.0002476, 0.0071757, 0.0182597
28.3000000,          , 0.0068073, 0.0199442
28.4000000, 0.0002763, 0.0068150, 0.0182611
28.5000000, 0.0002703, 0.0072082, 0.0194599
28.6000000, 0.0003243, 0.0072131, 0.0207793
28.7000000, 0.0002833, 0.0068660, 0.0212456
28.8000000, 0.0002737, 0.0072901, 0.0225542
28.9000000, 0.0003080, 0.0066654,          
29.0000000, 0.0003270, 0.0082978,          
29.1000000,          , 0.0074882, 0.0214718
29.2000000, 0.0003453, 0.0073704, 0.0233566
29.3000000,          , 0.0073011, 0.0236683
29.4000000, 0.0003458, 0.0081387, 0.0215904
29.5000000, 0.0003633, 0.0071909, 0.0227384
29.6000000, 0.0004114, 0.0074210,          
29.7000000,          , 0.0068538,          
29.8000000, 0.0004098, 0.0077185, 0.0249351
29.9000000, 0.0004468, 0.0074415, 0.0250792
30.0000000, 0.0004090, 0.0071219, 0.0228680
30.1000000, 0.0004518, 0.0076320, 0.0224628
30.2000000, 0.0004681, 0.0076247, 0.0242419
30.3000000, 0.0004508, 0.0072127,          
30.4000000, 0.0004962, 0.0065822, 0.0262850
30.5000000, 0.0005276, 0.0077748,          
30.6000000, 0.0005632, 0.0079116, 0.0253009
30.7000000, 0.0005369, 0.0072579, 0.0241448
30.8000000, 0.0005670, 0.0066732, 0.0247871
30.9000000, 0.0005784, 0.0074444, 0.0282915
31.0000000, 0.0005569, 0.0081011, 0.0276286
31.1000000, 0.0005728, 0.0080517, 0.0248434
31.2000000,          , 0.0070565, 0.0266058
31.3000000, 0.0006732, 0.0074488, 0.0253889
31.4000000, 0.0006563, 0.0077834, 0.0278729
31.5000000, 0.0006760, 0.0072572, 0.0277480
31.6000000, 0.0007187, 0.0076175, 0.0275948
31.7000000, 0.0007062, 0.0072744, 0.0285629
31.8000000,          , 0.0071093,          
31.9000000, 0.0007541, 0.0072227, 0.0274205
32.0000000, 0.0006958, 0.0075039, 0.0282419
32.1000000, 0.0008283, 0.0082230, 0.0285486
32.2000000, 0.0008877, 0.0073129,          
32.3000000, 0.0009038, 0.0067183, 0.0305413
32.4000000, 0.0008543,          , 0.0291009
32.5000000, 0.0008128, 0.0070706, 0.0320318
32.6000000, 0.0009374, 0.0074440, 0.0285431
32.7000000, 0.0009406, 0.0070362,          
32.8000000, 0.0009675, 0.0077942, 0.0313828
32.9000000, 0.0009669, 0.0072047, 0.0322045
33.0000000, 0.0010560, 0.0075506, 0.0305096
33.1000000, 0.0011602, 0.0081018, 0.0325944
33.2000000, 0.0011680, 0.0073999, 0.0318954
33.3000000, 0.0010394, 0.0077921, 0.0306605
33.4000000, 0.0012237, 0.0070942, 0.0310467
33.5000000, 0.0011524, 0.0071683, 0.0317447
33.6000000, 0.0012179,          , 0.0300634
33.7000000, 0.0011600,          , 0.0329196
33.8000000, 0.0013003, 0.0072937, 0.0330182
33.9000000,          , 0.0079381, 0.0330754
34.0000000, 0.0013852, 0.0075503, 0.0319433
34.1000000,          ,          , 0.0339746
34.2000000, 0.0014721, 0.0078829, 0.0333954
34.3000000, 0.0014383, 0.0079940, 0.0343228
34.4000000, 0.0013950, 0.0073286, 0.0333950
34.5000000, 0.0015784,          , 0.0331761
34.6000000, 0.0015087,          ,          
34.7000000, 0.0015655, 0.0074870, 0.0330912
34.8000000, 0.0016744, 0.0081838, 0.0370612
34.9000000, 0.0016769, 0.0075963, 0.0345688
35.0000000, 0.0018015, 0.0073807, 0.0368841
35.1000000, 0.0017454, 0.0076446, 0.0360919
35.2000000, 0.0019557, 0.0073473, 0.0352706
35.3000000, 0.0018167, 0.0075170, 0.0342259
35.4000000, 0.0018751, 0.0074327, 0.0365522
35.5000000,          , 0.0077898, 0.0351251
35.6000000, 0.0022048, 0.0077151, 0.0344705
35.7000000, 0.0021308, 0.0077458,          
35.8000000, 0.0022745, 0.0074681, 0.0370580
35.9000000, 0.0019574,          , 0.0377656
36.0000000, 0.0022343, 0.0083612, 0.0352511
36.1000000, 0.0022174, 0.0083755, 0.0336641
36.2000000, 0.0024033, 0.0084347, 0.0394433
36.3000000, 0.0022924, 0.0074496, 0.0369428
36.4000000, 0.0023108, 0.0074260, 0.0385680
36.5000000, 0.0026222, 0.0079569,          
36.6000000,          , 0.0082256, 0.0414866
36.7000000, 0.0025773, 0.0077872, 0.0398120
36.8000000,          , 0.0073421, 0.0393075
36.9000000, 0.0029927, 0.0078317, 0.0369098
37.0000000, 0.0031217, 0.0077821, 0.0374104
37.1000000,          , 0.0077561, 0.0354211
37.2000000, 0.0032136, 0.0076234,          
37.3000000, 0.0031824, 0.0078139, 0.0373076
37.4000000, 0.0028684, 0.0077905,          
37.5000000, 0.0030369, 0.0073578,          
37.6000000, 0.0031465, 0.0082328, 0.0403093
37.7000000, 0.0031769, 0.0078334, 0.0375086
37.8000000, 0.0034033, 0.0079704, 0.0400935
37.9000000, 0.0032037, 0.0073249, 0.0408178
38.0000000, 0.0036613, 0.0076834, 0.0389587
38.1000000, 0.0034913, 0.0078677, 0.0388506
38.2000000, 0.0040482, 0.0071391, 0.0421854
38.3000000, 0.0037702, 0.0073887, 0.0397096
38.4000000, 0.0039326, 0.0079800, 0.0387931
38.5000000, 0.0040469,          , 0.0401346
38.6000000, 0.0038796,          , 0.0394159
38.7000000, 0.0040079, 0.0078159, 0.0375852
38.8000000, 0.0043323, 0.0075771, 0.0383058
38.9000000, 0.0043021, 0.0079455, 0.0425054
39.0000000, 0.0041897, 0.0074960, 0.0381678
39.1000000, 0.0045076, 0.0077666, 0.0381455
39.2000000, 0.0044763, 0.0075421, 0.0373247
39.3000000, 0.0046412, 0.0079578, 0.0424247
39.4000000, 0.0045417, 0.0073676, 0.0376387
39.5000000, 0.0047808,          , 0.0394577
39.6000000, 0.0051883, 0.0078295,          
39.7000000,          , 0.0083486, 0.0411030
39.8000000, 0.0050214, 0.0073847, 0.0421204
39.9000000, 0.0053097, 0.0082738, 0.0404531
40.0000000, 0.0053939, 0.0075683, 0.0428702
40.1000000, 0.0053289, 0.0074099, 0.0418471
40.2000000, 0.0053573, 0.0073724, 0.0383417
40.3000000, 0.0056518, 0.0084232, 0.0393212
40.4000000, 0.0061054, 0.0078721, 0.0423191
40.5000000,          , 0.0076097, 0.0388727
40.6000000, 0.0060731, 0.0074884, 0.0397482
40.7000000, 0.0063298, 0.0084744, 0.0404201
40.8000000,          , 0.0083766, 0.0405718
40.9000000,          , 0.0076968, 0.0391994
41.0000000, 0.0061780, 0.0077238, 0.0411453
41.1000000, 0.0063879, 0.0079847, 0.0430912
41.2000000,          , 0.0077541, 0.0406467
41.3000000, 0.0071870,          , 0.0387535
41.4000000, 0.0070355,          ,          
41.5000000,          , 0.0076975, 0.0399553
41.6000000, 0.0070614, 0.0073310, 0.0385032
41.7000000, 0.0069848, 0.0083242, 0.0401869
41.8000000, 0.0075280, 0.0080551, 0.0408368
41.9000000, 0.0071496, 0.0076702, 0.0383517
42.0000000, 0.0073348, 0.0081575, 0.0368443
42.1000000, 0.0079273, 0.0075452, 0.0422326
42.2000000,          , 0.0076437,          
42.3000000, 0.0081807, 0.0077060, 0.0398166
42.4000000, 0.0089906, 0.0085879, 0.0397349
42.5000000, 0.0086089, 0.0082048, 0.0355723
42.6000000, 0.0088728,          , 0.0375998
42.7000000, 0.0094185, 0.0078154, 0.0398299
42.8000000, 0.0085729, 0.0077230, 0.0380146
42.9000000, 0.0091902, 0.0084781, 0.0380461
43.0000000,          ,          , 0.0381609
43.1000000, 0.0093712, 0.0070463, 0.0399541
43.2000000, 0.0105749,          , 0.0350071
43.3000000, 0.0097134, 0.0091417, 0.0379588
43.4000000, 0.0102844, 0.0078568, 0.0375290
43.5000000, 0.0104722, 0.0078230, 0.0383539
43.6000000, 0.0107393, 0.0078194, 0.0383326
43.7000000, 0.0106307, 0.0078121,          
43.8000000, 0.0107295, 0.0081277,          
43.9000000, 0.0100459, 0.0075667, 0.0389401
44.0000000, 0.0115419, 0.0082852,          
44.1000000, 0.0112828,          , 0.0363888
44.2000000, 0.0118693, 0.0079782, 0.0345111
44.3000000,          , 0.0083040, 0.0381592
44.4000000, 0.0121454, 0.0075300, 0.0401278
44.5000000, 0.0126244,          , 0.0343658
44.6000000, 0.0131328, 0.0088131, 0.0328274
44.7000000,          , 0.0079494, 0.0350616
44.8000000, 0.0126973, 0.0080611, 0.0357750
44.9000000, 0.0123466, 0.0076132, 0.0329135
45.0000000, 0.0131014,          , 0.0346249
45.1000000, 0.0132935, 0.0081123,          
45.2000000, 0.0131618, 0.0076377, 0.0350982
45.3000000, 0.0137408, 0.0083317, 0.0349336
45.4000000, 0.0136414, 0.0073094, 0.0359815
45.5000000, 0.0136953, 0.0072924,          
45.6000000, 0.0144533, 0.0083768, 0.0353378
45.7000000, 0.0140048, 0.0077470, 0.0325594
45.8000000, 0.0142786, 0.0080944, 0.0317799
45.9000000, 0.0148034, 0.0087279, 0.0325983
46.0000000,          , 0.0086194, 0.0323615
46.1000000, 0.0153470, 0.0087400,          
46.2000000, 0.0152795, 0.0076046, 0.0319883
46.3000000, 0.0159527, 0.0085679, 0.0333819
46.4000000, 0.0149021, 0.0076222, 0.0336761
46.5000000, 0.0172973, 0.0074216, 0.0290290
46.6000000, 0.0168576, 0.0082537, 0.0298513
46.7000000, 0.0163402, 0.0082430, 0.0310437
46.8000000, 0.0165983, 0.0070925, 0.0311509
46.9000000, 0.0166799, 0.0084373, 0.0326982
47.0000000, 0.0179405, 0.0083033, 0.0319841
47.1000000, 0.0184977,          , 0.0329266
47.2000000, 0.0167569, 0.0080732, 0.0311885
47.3000000, 0.0187303,          , 0.0327639
47.4000000, 0.0177017, 0.0080394,          
47.5000000, 0.0178381, 0.0080113, 0.0314223
47.6000000, 0.0174619, 0.0082822, 0.0292442
47.7000000, 0.0186423,          ,          
47.8000000, 0.0178907, 0.0080883, 0.0279637
47.9000000, 0.0185709, 0.0083521, 0.0298097
48.0000000, 0.0204019, 0.0081174, 0.0290248
48.1000000, 0.0178153, 0.0077317, 0.0275091
48.2000000, 0.0203426, 0.0081201, 0.0275557
48.3000000, 0.0210083, 0.0081923, 0.0268899
48.4000000, 0.0215180,          , 0.0274481
48.5000000, 0.0202323, 0.0081842, 0.0281042
48.6000000, 0.0201757, 0.0079298, 0.0278411
48.7000000, 0.0214093, 0.0082255, 0.0269984
48.8000000, 0.0227598, 0.0082913, 0.0265793
48.9000000, 0.0209836, 0.0080396, 0.0286374
49.0000000, 0.0223937, 0.0076029, 0.0268373
49.1000000, 0.0207430, 0.0083289, 0.0259555
49.2000000, 0.0226870, 0.0087163, 0.0251700
49.3000000,          , 0.0078165, 0.0261584
49.4000000, 0.0241308, 0.0076800, 0.0266052
49.5000000, 0.0219388, 0.0079020, 0.0263463
49.6000000, 0.0243029, 0.0077032, 0.0253434
49.7000000, 0.0241147, 0.0077430,          
49.8000000, 0.0247686, 0.0082549, 0.0248522
49.9000000, 0.0243311, 0.0080974, 0.0237522
50.0000000, 0.0223592, 0.0083163, 0.0228352
50.1000000, 0.0234704, 0.0079404, 0.0241553
50.2000000, 0.0260843, 0.0085001, 0.0230143
50.3000000, 0.0271956, 0.0087166, 0.0236794
50.4000000, 0.0226246, 0.0083623, 0.0236701
50.5000000, 0.0262764, 0.0076387, 0.0226818
50.6000000, 0.0273128, 0.0075897, 0.0258278
50.7000000, 0.0281487, 0.0074994, 0.0206859
50.8000000, 0.0262022, 0.0074772, 0.0206356
50.9000000, 0.0252156, 0.0083357, 0.0220696
51.0000000, 0.0264529, 0.0087823, 0.0218552
51.1000000, 0.0274825, 0.0088023,          
51.2000000, 0.0264426, 0.0080493,          
51.3000000, 0.0276155, 0.0078838, 0.0208720
51.4000000, 0.0266738, 0.0081507, 0.0200074
51.5000000, 0.0267719, 0.0087068, 0.0206088
51.6000000, 0.0303287, 0.0080736, 0.0199025
51.7000000, 0.0277313, 0.0084056, 0.0197064
51.8000000, 0.0275929, 0.0079635, 0.0195576
51.9000000, 0.0271536, 0.0082488, 0.0211471
52.0000000, 0.0317226, 0.0077664, 0.0182555
52.1000000, 0.0313824, 0.0077832, 0.0201234
52.2000000,          , 0.0081737, 0.0208523
52.3000000, 0.0305581, 0.0078323, 0.0186731
52.4000000, 0.0309024,          , 0.0183287
52.5000000, 0.0301231, 0.0076265, 0.0180341
52.6000000, 0.0302892, 0.0084764, 0.0166958
52.7000000, 0.0297244, 0.0078214, 0.0189735
52.8000000, 0.0297965, 0.0081245, 0.0174704
52.9000000, 0.0339355, 0.0087098,          
53.0000000, 0.0302266, 0.0079543,          
53.1000000, 0.0306852,          , 0.0168200
53.2000000, 0.0315220, 0.0077468, 0.0180100
53.3000000, 0.0285900, 0.0074150, 0.0162213
53.4000000, 0.0320164, 0.0081405, 0.0157731
53.5000000, 0.0304077, 0.0079750, 0.0161220
53.6000000, 0.0329557, 0.0074499, 0.0158907
53.7000000, 0.0326442, 0.0076965, 0.0155721
53.8000000, 0.0357167,          , 0.0147672
53.9000000, 0.0318574, 0.0076286, 0.0158133
54.0000000, 0.0345012, 0.0076921, 0.0156228
54.1000000, 0.0315964, 0.0081039, 0.0159404
54.2000000, 0.0347252,          , 0.0157217
54.3000000, 0.0345021, 0.0084782, 0.0148420
54.4000000, 0.0364136, 0.0078834,          
54.5000000, 0.0362508, 0.0067638, 0.0152915
