#Funktionen
#        x,    Func 1,    Func 2,    Func 3
 0.0000000, 0.0000000,-0.0000000
19.4000000, 5.6223453,-3.2445674, 9.4219865
19.5000000, 7.4278110,-2.7299934,11.2448041
19.6000000, 6.2383666,-2.3848681
19.7000000, 6.8730029,-2.7968119,10.6477511
19.8000000, 6.7844566,-2.7899121, 9.2367942
19.9000000, 6.2662473,-2.5691829, 9.5734703
20.0000000, 5.4400845,-2.2224029,10.5992301
20.1000000, 6.2790474,-2.2163315, 9.0739319
20.2000000, 6.1548706,-2.9177268, 9.2041598
20.3000000, 7.5044792,-2.5778921
20.4000000, 5.9408355,-2.5168270
20.5000000, 5.7322349,-2.2476112, 9.9076081
20.6000000, 6.1256600,-2.3150073, 8.6841784
20.7000000, 5.1282262,-2.1513121, 8.7326591
20.8000000, 5.8237089,-2.3656257,10.3835859
20.9000000, 5.2801656,-2.3428121,10.1047135
21.0000000, 6.4196401,-2.1677182, 9.9063435
21.1000000, 5.5448721,-1.7779936, 8.8864979
21.2000000, 5.7596867,-2.2253005, 8.6375810
21.3000000, 5.3456669,-1.9267729, 8.7504706
21.4000000, 5.5550310,-1.7833682,11.0465939
21.5000000, 4.6196446,-1.8080341, 8.6116334
21.6000000, 5.5968673,-1.4972795
21.7000000, 5.0536242,-1.8454209, 9.1840412
21.8000000, 5.4143755,-1.7039118, 9.2740790
21.9000000, 4.3069061,-1.6857857, 8.5411567
22.0000000, 3.8217549,-1.6892791,10.8111694
22.1000000, 4.6062837,-2.1917568
22.2000000, 3.8647323,-1.8026687,11.1506199
22.3000000, 4.4075533,-1.4388280, 9.5192115
22.4000000, 4.2004085,-1.7686591
22.5000000, 3.2882701,-1.5974436,10.5219560
22.6000000, 3.5285121,-1.7259923, 9.2341503
22.7000000, 3.6185507,-1.6539019, 9.8706235
22.8000000, 3.8474867,-1.2723845,10.9509393
22.9000000, 3.7714581,-1.5449162
23.0000000, 4.0500787,-1.5056504, 9.5538439
23.1000000, 3.5345454,-1.5801878, 8.8161985
23.2000000, 3.9931213,-1.5349215,10.4698235
23.3000000, 2.8898950,-1.4453145,10.5641939
23.4000000, 2.9797468,-1.4106914, 8.9693654
23.5000000, 3.3430114,-1.3516750, 8.8645687
23.6000000, 3.0452937,-1.0947183, 9.9755926
23.7000000, 3.0383846,-1.2959161,11.1549137
23.8000000, 2.6036397,-1.2603351,10.6738466
23.9000000, 3.0489452,-1.2854946, 8.9294184
24.0000000, 3.0071932,-1.2361833,10.7516247
24.1000000, 2.9786611,-1.2810429, 9.1742384
24.2000000, 3.0347064,-1.2267557,11.3858763
24.3000000, 2.5603413,-1.2642801,10.7961242
24.4000000, 3.1252786,-0.9889793, 9.2599124
24.5000000, 1.9975363,-1.2837598
24.6000000, 2.5402661,-0.9345296, 9.9486199
24.7000000, 2.6275575,-1.0281533,10.0076661
24.8000000, 2.9500807,-1.0044507,12.5547388
24.9000000, 2.6989612,-0.9426046, 8.0434527
25.0000000, 2.4925282,-1.1079176, 9.7225384
25.1000000, 2.4943709,-0.8478376, 9.1031504
25.2000000, 2.6189921,-0.9268848, 9.8002338
25.3000000, 2.2582337,-1.0900452, 8.2580715
25.4000000, 2.4894210,-0.7816396, 8.1748111
25.5000000, 2.1287377,-0.8872091,10.9262042
25.6000000, 2.0716573,-0.8478125,10.4580048
25.7000000, 2.0669630,-0.8941051, 9.7751036
25.8000000, 1.9572835,-0.8137197,10.3215261
25.9000000, 1.7977967,-0.6125310,10.0218390
26.0000000, 1.9454189,-0.8018253, 8.5233989
26.1000000, 1.9067028,-0.6144971,10.7785145
26.2000000, 1.7890337,-0.7228425, 9.5192493
26.3000000, 1.6871202,-0.6740374
26.4000000, 1.7054280,-0.7078255,10.0603146
26.5000000, 1.6268406,-0.6256326, 9.9974415
26.6000000, 1.7139463,-0.7469538, 9.7420625
26.7000000, 1.5082386,-0.6302669, 9.9027710
26.8000000, 1.4523022,-0.6271933
26.9000000, 1.5524868,-0.6132873
27.0000000, 1.5119584,-0.5274763
27.1000000, 1.5294339,-0.5843518,10.0911760
27.2000000, 1.4014110,-0.6132300
27.3000000, 1.4351915,-0.5015413,10.2800863
27.4000000, 1.3772781,-0.4589759,10.8719330
27.5000000, 1.3056691,-0.4064095,10.4468324
27.6000000, 1.1951736,-0.4749634, 8.6054419
27.7000000, 1.2026818,-0.4734769,10.3553042
27.8000000, 1.1311058,-0.4163601, 8.9312994
27.9000000, 1.1521365,-0.3804743, 7.3550373
28.0000000, 1.0227266,-0.4506980, 9.8653689
28.1000000, 0.9714049,-0.3581638, 8.6528491
28.2000000, 1.0538359,-0.3807835,11.4695228
28.3000000, 0.8862936,-0.3581608, 8.3249065
28.4000000, 0.9745141,-0.3907476,10.5231374
28.5000000, 0.7868038,-0.3921447, 7.8459642
28.6000000, 0.8083541,-0.2912492, 9.7996549
28.7000000, 0.7759101,-0.3135487,10.1515413
28.8000000, 0.8684778,-0.3017860, 9.5724833
28.9000000, 0.6119778,-0.2936298,10.5563772
29.0000000, 0.6482665,-0.2666162,10.8671969
29.1000000, 0.6420034,-0.2727315, 8.8538823
29.2000000, 0.4648628,-0.2352558,10.1413686
29.3000000, 0.5042967,-0.2536948, 8.8684344
29.4000000, 0.5458429,-0.2234964, 8.2289338
29.5000000, 0.5584167,-0.2010299, 9.3587666
29.6000000, 0.4896383,-0.1827554, 7.7063362
29.7000000, 0.3985950,-0.1968624, 9.9960274
29.8000000, 0.4819335,-0.1857117, 9.5387818
29.9000000, 0.4006554,-0.1284464,10.0061657
30.0000000, 0.3959615,-0.1543710, 9.1005764
30.1000000, 0.3018776,-0.1193744, 8.0950629
30.2000000, 0.2816182,-0.1266955, 8.9553973
30.3000000, 0.3197848,-0.0977161
30.4000000, 0.2756588,-0.0761144, 8.4866263
30.5000000, 0.1797179,-0.0990669, 8.8668714
30.6000000, 0.2181676,-0.0790885, 8.6326448
30.7000000, 0.1616277,-0.0651138, 9.7288759
30.8000000, 0.1269011,-0.0488232, 9.2658056
30.9000000, 0.1231464,-0.0549156
31.0000000, 0.1035936,-0.0368768,10.2616492
31.1000000, 0.0671618,-0.0274854, 9.7871418
31.2000000, 0.0444403,-0.0207189, 9.3277042
31.3000000, 0.0215914,-0.0084252, 8.0502630
31.4000000, 0.0034772,-0.0011833, 8.3984240
31.5000000,-0.0128193, 0.0070926, 9.4512820
31.6000000,-0.0395752, 0.0149617, 9.4907622
31.7000000,-0.0499379, 0.0264023, 9.0546487
31.8000000,-0.0813633, 0.0327353, 8.1388933
31.9000000,-0.0959720, 0.0371152, 9.1714591
32.0000000,-0.1130467, 0.0484505, 8.7164051
32.1000000,-0.1553033, 0.0563700, 9.1539412
32.2000000,-0.1777308, 0.0590173,10.0723224
32.3000000,-0.1901677, 0.0664342, 8.8804001
32.4000000,-0.2084004, 0.0743983, 8.2706263
32.5000000,-0.2233265, 0.0879360, 9.6829424
32.6000000,-0.2120850, 0.0906583, 9.3175150
32.7000000,-0.2200880, 0.0919653,10.2166570
32.8000000,-0.2992690, 0.0864017
32.9000000,-0.2595666, 0.1061336, 8.1256028
33.0000000,-0.2948150, 0.1146402, 9.1929765
33.1000000,-0.3382933, 0.1055382, 9.6354017
33.2000000,-0.2819263, 0.1193218, 8.0284045
33.3000000,-0.3008463, 0.1312410, 8.7193548
33.4000000,-0.3732628, 0.1504236, 7.5753506
33.5000000,-0.2992978, 0.1397034, 9.2292194
33.6000000,-0.3141136, 0.1676908, 9.7146885
33.7000000,-0.4062489, 0.1417267, 8.9945248
33.8000000,-0.4006664, 0.1396567, 7.1684841
33.9000000,-0.4417533, 0.1369454, 9.1011048
34.0000000,-0.4732636, 0.1357001, 8.3324211
34.1000000,-0.4839571, 0.1804399, 8.5656723
34.2000000,-0.4714279, 0.1806941, 7.8721510
34.3000000,-0.4228093, 0.1943454, 8.0863253
34.4000000,-0.4927915, 0.1843456, 8.9685943
34.5000000,-0.4520494, 0.1977469
34.6000000,-0.5339280, 0.1981677, 9.1001906
34.7000000,-0.4677443, 0.2043311
34.8000000,-0.5525354, 0.2195206, 9.6994047
34.9000000,-0.5337372, 0.2307402
35.0000000,-0.5413020, 0.1865931
35.1000000,-0.6619932, 0.1829358, 8.9139666
35.2000000,-0.5058455, 0.1940592, 8.5044593
35.3000000,-0.5999687, 0.2536962, 7.2332663
35.4000000,-0.5462162, 0.2296718, 7.3232259
35.5000000,-0.6160893, 0.2485968, 8.9532827
35.6000000,-0.5727140, 0.2708352, 8.4477528
35.7000000,-0.6232634, 0.2194250,10.5672234
35.8000000,-0.7003670, 0.2442814, 8.8381334
35.9000000,-0.5936172, 0.2540183, 9.1919077
36.0000000,-0.6695069, 0.2414275, 8.4592362
36.1000000,-0.5676196, 0.2396623, 7.0039164
36.2000000,-0.6388165, 0.2697640, 7.2653053
36.3000000,-0.5901897, 0.2791995, 8.2801539
36.4000000,-0.6750430, 0.2173976, 8.8978572
36.5000000,-0.6821080, 0.2481052, 8.1420234
36.6000000,-0.6843336, 0.2436021, 7.5103819
36.7000000,-0.5883043, 0.2400868, 6.5424966
36.8000000,-0.7369681, 0.2251372, 8.1854467
36.9000000,-0.8069081, 0.2944017, 8.5626067
37.0000000,-0.6270929, 0.2319112, 7.2331268
37.1000000,-0.6186305, 0.2042044, 7.3282352
37.2000000,-0.6152808, 0.2863720, 7.7247514
37.3000000,-0.6521535, 0.2980251, 8.2718771
37.4000000,-0.6547735, 0.2486598, 8.6425103
37.5000000,-0.6077618, 0.2658973, 8.3905018
37.6000000,-0.6466637, 0.2649760, 6.9963695
37.7000000,-0.7044959, 0.2662892, 6.6214111
37.8000000,-0.6173691, 0.2702250, 9.5534834
37.9000000,-0.6828503, 0.2626584, 8.2542841
38.0000000,-0.6439891, 0.2830629, 8.6101101
38.1000000,-0.6305826, 0.2790530, 6.7999301
38.2000000,-0.6931697, 0.2925208, 8.4549955
38.3000000,-0.6520906, 0.2652786, 6.9878358
38.4000000,-0.5816165, 0.3050625
38.5000000,-0.6712875, 0.2462972, 8.9329346
38.6000000,-0.7011226, 0.2822567, 7.5131704
38.7000000,-0.7242555, 0.2870446, 8.1372629
38.8000000,-0.7380402, 0.2863213, 9.9392854
38.9000000,-0.7217567, 0.2657571, 8.4993822
39.0000000,-0.6880317, 0.2658920, 8.6703092
39.1000000,-0.6841044, 0.3215664, 7.3797210
39.2000000,-0.5990460, 0.2821635
39.3000000,-0.6519722, 0.3081902, 9.1004088
39.4000000,-0.6518797, 0.2672682, 6.7090874
39.5000000,-0.7324311, 0.3033513, 7.3479794
39.6000000,-0.5856052, 0.2443109, 8.2977575
39.7000000,-0.7600643, 0.3178255, 9.2360521
39.8000000,-0.6186166, 0.2897886
39.9000000,-0.6819654, 0.2787065, 7.3691444
40.0000000,-0.8194244, 0.2544922
40.1000000,-0.6853231, 0.2553912, 8.5864142
40.2000000,-0.5837416, 0.2914589, 8.8768202
40.3000000,-0.6505001, 0.2640350, 7.4375050
40.4000000,-0.6132393, 0.2561433, 7.9190657
40.5000000,-0.7591753, 0.2833298, 7.8738661
40.6000000,-0.6214168, 0.3384661, 6.8178800
40.7000000,-0.7012176, 0.3135016, 7.7199232
40.8000000,-0.7904668, 0.2496194, 7.5470736
40.9000000,-0.7188963, 0.2668123, 7.7509184
41.0000000,-0.6805639, 0.2330269, 7.6296798
41.1000000,-0.5486115, 0.2598006, 7.6460946
41.2000000,-0.6590157, 0.2478746, 7.1356552
41.3000000,-0.5488184, 0.2148830, 6.3310177
41.4000000,-0.6228735, 0.3683598
41.5000000,-0.7118810, 0.2378656, 7.7549284
41.6000000,-0.6916070, 0.2709020
41.7000000,-0.6771110, 0.2463847, 6.0354964
41.8000000,-0.6338639, 0.2280587
41.9000000,-0.7739686, 0.2818818, 7.1813547
42.0000000,-0.6500159, 0.2633202, 6.9314018
42.1000000,-0.6523623, 0.2694319, 7.1912018
42.2000000,-0.7280187, 0.2185252
42.3000000,-0.6775932, 0.2356570, 7.6965778
42.4000000,-0.6293969, 0.2459552, 8.1633110
42.5000000,-0.6896620, 0.2447349, 7.5418455
42.6000000,-0.5697708, 0.2144453
42.7000000,-0.5931118, 0.2280523, 7.2714522
42.8000000,-0.6387072, 0.2245721, 8.0885962
42.9000000,-0.5381115, 0.2184910, 7.6150503
43.0000000,-0.5634025, 0.2089126, 7.2725871
43.1000000,-0.5626261, 0.2469449
43.2000000,-0.6141086, 0.2433076, 6.4466625
43.3000000,-0.6904565, 0.2609894, 6.7369822
43.4000000,-0.6480868, 0.2590701, 6.9096648
43.5000000,-0.6599945, 0.2430908, 6.7998913
43.6000000,-0.5425622, 0.2483529
43.7000000,-0.6589235, 0.2439927, 5.8845565
43.8000000,-0.5897447, 0.2611428
43.9000000,-0.5739177, 0.2806930, 6.7675969
44.0000000,-0.5854819, 0.2080455, 7.3465938
44.1000000,-0.6057413, 0.2313228
44.2000000,-0.5750860, 0.2158806, 6.3490153
44.3000000,-0.5736039, 0.2213485, 6.7820932
44.4000000,-0.5903159, 0.2485443, 7.4589725
44.5000000,-0.5028119, 0.2223612, 6.3354456
44.6000000,-0.5538658, 0.2097287, 6.9838586
44.7000000,-0.4761044, 0.2248605, 7.6913078
44.8000000,-0.4783105, 0.2325043, 6.1191919
44.9000000,-0.5616690, 0.1779428, 7.0037725
45.0000000,-0.5300701, 0.2125664, 6.8895294
45.1000000,-0.6042052, 0.2082784, 6.9642869
45.2000000,-0.5019733, 0.2026227, 7.1864514
45.3000000,-0.5791599, 0.2210055, 6.7470343
45.4000000,-0.5402955, 0.2028404
45.5000000,-0.4617331, 0.2120659, 5.8568548
45.6000000,-0.5491865, 0.1870241, 6.3821162
45.7000000,-0.6277548, 0.2265367, 6.4737444
45.8000000,-0.4632364, 0.1733046, 7.4332531
45.9000000,-0.5240755, 0.2164136
46.0000000,-0.5608052, 0.1901270, 5.9563564
46.1000000,-0.4194435, 0.2064253, 5.8547371
46.2000000,-0.4603753, 0.1928634, 6.6971697
46.3000000,-0.4036779, 0.2184440
46.4000000,-0.4061460, 0.1766155, 6.5042957
46.5000000,-0.4474872, 0.1981351, 6.4248696
46.6000000,-0.4811344, 0.1884277, 6.2155674
46.7000000,-0.4260226, 0.1906886, 5.7429227
46.8000000,-0.5465693, 0.1906969, 6.0951752
46.9000000,-0.4691366, 0.1459056, 6.1964468
47.0000000,-0.4400682, 0.1931712, 5.7750920
47.1000000,-0.4499565, 0.1725751, 5.9828769
47.2000000,-0.4673944, 0.2144372
47.3000000,-0.3681561, 0.2067658, 6.9596628
47.4000000,-0.4078980, 0.1811175, 7.0193282
47.5000000,-0.3972816, 0.1493260, 6.0078506
47.6000000,-0.3619987, 0.1648089
47.7000000,-0.3911098, 0.1732242, 6.7893311
47.8000000,-0.3853641, 0.1301045
47.9000000,-0.3560154, 0.1458201, 6.3162060
48.0000000,-0.4337754, 0.1461413
48.1000000,-0.4672286, 0.1667968, 6.6155977
48.2000000,-0.3945141, 0.1741827, 5.9604724
48.3000000,-0.4504624, 0.1646215, 7.3835707
48.4000000,-0.4111962, 0.1412598, 6.1038025
48.5000000,-0.3611591, 0.1585567, 6.6936086
48.6000000,-0.3787922, 0.1755111, 5.0817146
48.7000000,-0.3517927, 0.1382863, 6.5208497
48.8000000,-0.3419045, 0.1631861, 5.6551828
48.9000000,-0.3372473, 0.1657655, 6.0565430
49.0000000,-0.3861091, 0.1342985, 4.9941849
49.1000000,-0.3417157, 0.1683335, 5.7110720
49.2000000,-0.3232668, 0.1421486, 6.1298130
49.3000000,-0.4006953, 0.1609521, 5.9619710
49.4000000,-0.3589848, 0.1151761, 5.6432718
49.5000000,-0.3255415, 0.1421913, 5.2851589
49.6000000,-0.2512490, 0.1319111, 6.3854143
49.7000000,-0.3667504, 0.1534657, 5.1710868
49.8000000,-0.3414202, 0.1431794, 4.9666966
49.9000000,-0.3501285, 0.1416496, 5.4323332
50.0000000,-0.3214329, 0.1257637, 5.2510654
50.1000000,-0.3373775, 0.1316102, 5.3443695
50.2000000,-0.2484685, 0.1164196
50.3000000,-0.3405378, 0.1364626, 5.8106418
50.4000000,-0.3786341, 0.0979798, 4.7652825
50.5000000,-0.3186498, 0.1062075, 5.8839900
50.6000000,-0.2821615, 0.1310111, 4.7718527
50.7000000,-0.2980821, 0.0867638, 5.7883376
50.8000000,-0.2904738, 0.1278105, 5.8229140
50.9000000,-0.2647674, 0.1207070, 5.1058177
51.0000000,-0.2976776, 0.1149576, 6.2671013
51.1000000,-0.2685794, 0.1219718, 4.1591220
51.2000000,-0.3035452, 0.1308306
51.3000000,-0.2786340, 0.1083988, 4.9288837
51.4000000,-0.2175246, 0.0983556, 5.8532231
51.5000000,-0.3075387, 0.0791679, 5.9337246
51.6000000,-0.2505848, 0.0985066, 5.1535078
51.7000000,-0.2681247, 0.1052788, 7.0264639
51.8000000,-0.2225145, 0.1058699, 5.4865478
51.9000000,-0.2387553, 0.0900867, 5.1120534
52.0000000,-0.2339643, 0.0795511, 5.1784264
52.1000000,-0.1976186, 0.1014625, 5.3657208
52.2000000,-0.2532157, 0.0883071, 5.4347315
52.3000000,-0.2345943, 0.0658658, 6.0949659
52.4000000,-0.2124300, 0.1085136, 5.3848994
52.5000000,-0.2573966, 0.0934189, 5.8599012
52.6000000,-0.1952605, 0.0752533, 4.7856177
52.7000000,-0.2247890, 0.0902010, 5.7503463
52.8000000,-0.2004765, 0.0918553, 4.4175952
52.9000000,-0.1903393, 0.0863655, 5.3017498
53.0000000,-0.1982427, 0.0974980, 4.6505604
53.1000000,-0.1979817, 0.0766873, 5.0182906
53.2000000,-0.2443746, 0.0851618, 5.1419053
53.3000000,-0.1873362, 0.0729330
53.4000000,-0.2082642, 0.0978505, 5.5341718
