Spannungsmessung
 Strom          U1          U2          U3
 6.90A     119.48V     231.12V     358.30V
 7.00A     127.97V     225.09V     332.41V
 7.10A     144.83V     250.91V     319.35V
 7.20A     138.57V     262.19V     347.63V
 7.30A     163.17V     226.59V     331.90V
 7.40A     167.43V     244.97V     332.51V
 7.50A     167.96V     277.14V     362.12V
 7.60A     190.19V     240.40V     349.88V
 7.70A     187.71V     250.13V     374.22V
 7.80A     186.99V     262.64V     372.68V
 7.90A     185.09V     256.01V     369.72V
 8.00A     174.43V     282.61V     356.79V
 8.10A     182.14V     270.33V     299.98V
 8.20A     152.40V     255.65V     309.30V
 8.30A     164.94V     282.53V     353.25V
 8.40A     153.28V     242.58V     335.26V
 8.50A     144.36V     281.28V     368.79V
 8.60A     123.05V     281.32V     320.89V
 8.70A     115.35V     297.08V     332.59V
 8.80A      98.16V     272.36V     347.06V
 8.90A      87.64V     303.39V     330.99V
 9.00A      72.11V     310.33V     307.45V
 9.10A      54.76V     292.57V     334.30V
 9.20A      37.20V     284.85V     306.31V
 9.30A      21.55V     307.88V     318.57V
 9.40A       3.71V     289.13V     313.81V
 9.50A     -11.14V     288.77V     322.22V
 9.60A     -28.65V     289.03V     299.50V
 9.70A     -41.45V     318.35V     307.42V
 9.80A     -55.12V     294.81V     286.41V
 9.90A     -70.28V     265.30V     323.19V
10.00A     -81.52V     289.10V     289.84V
10.10A     -83.75V     303.52V     288.96V
10.20A    -101.15V     302.52V     277.67V
10.30A    -108.96V     307.38V     283.77V
10.40A    -112.52V     279.12V     284.10V
10.50A    -122.87V     313.85V     290.46V
10.60A    -126.26V     302.95V     277.93V
10.70A    -121.60V     335.89V     280.49V
10.80A    -138.07V     340.94V     269.58V
10.90A    -139.95V     288.67V     283.28V
11.00A    -130.90V     323.90V     253.21V
11.10A    -129.44V     332.49V     251.10V
11.20A    -127.09V     328.07V     253.64V
11.30A    -115.09V     341.25V     220.29V
11.40A    -118.75V     328.28V     218.27V
11.50A    -101.54V     340.85V     240.39V
11.60A    -103.84V     360.46V     231.70V
11.70A     -95.62V     299.40V     235.12V
11.80A     -84.85V     327.82V     222.01V
11.90A     -67.49V     327.40V     199.71V
12.00A     -63.94V     305.72V     223.06V
12.10A     -51.93V     335.66V     199.26V
12.20A     -42.23V     352.02V     204.61V
12.30A     -31.39V     324.40V     198.44V
12.40A     -19.69V     325.47V     189.14V
12.50A      -7.09V     322.14V     195.44V
12.60A       3.58V     357.01V     178.67V
12.70A      14.61V     343.85V     178.04V
12.80A      24.53V     336.29V     184.11V
12.90A      34.28V     359.50V     180.42V
13.00A      45.45V     367.37V     163.59V
13.10A      54.71V     338.63V     150.90V
13.20A      62.10V     349.37V     135.14V
13.30A      69.68V     341.98V     145.47V
13.40A      75.50V     332.26V     134.71V
13.50A      86.47V     330.28V     132.92V
13.60A      86.46V     338.52V     122.13V
13.70A      84.99V     333.06V     119.86V
13.80A     102.04V     320.61V     115.87V
13.90A     100.98V     351.60V     107.90V
14.00A     101.19V     307.60V     110.36V
14.10A      93.95V     329.27V      96.09V
14.20A     100.58V     312.74V      80.97V
14.30A      93.89V     346.38V      79.11V
14.40A      83.96V     347.00V      74.07V
14.50A      82.92V     330.65V      69.83V
14.60A      83.29V     331.51V      61.70V
14.70A      73.86V     340.95V      60.19V
14.80A      69.16V     335.21V      58.03V
14.90A      69.37V     320.62V      49.23V
15.00A      57.69V     358.93V      41.75V
15.10A      51.58V     333.00V      38.43V
15.20A      44.17V     340.27V      27.94V
15.30A      39.87V     334.33V      22.78V
15.40A      23.32V     347.74V      19.08V
15.50A      16.68V     331.72V      12.54V
15.60A       8.59V     328.08V       6.31V
15.70A       0.62V     337.87V       0.48V
15.80A      -7.42V     320.10V      -4.72V
15.90A     -15.75V     341.47V     -10.37V
16.00A     -22.26V     311.63V     -16.74V
16.10A     -27.47V     340.45V     -21.33V
16.20A     -37.36V     341.63V     -28.33V
16.30A     -43.76V     338.90V     -36.43V
16.40A     -46.50V     345.10V     -34.62V
16.50A     -50.22V     322.57V     -43.12V
16.60A     -53.66V     316.94V     -53.38V
16.70A     -62.55V     345.91V     -55.87V
16.80A     -68.56V     339.80V     -64.86V
16.90A     -70.47V     350.69V     -65.47V
17.00A     -71.46V     332.10V     -69.77V
17.10A     -71.07V     357.11V     -69.63V
17.20A     -68.97V     304.88V     -81.70V
17.30A     -71.50V     325.22V     -88.67V
17.40A     -75.05V     348.18V     -92.10V
17.50A     -70.17V     308.48V     -96.05V
17.60A     -68.63V     316.70V    -110.72V
17.70A     -60.27V     336.31V    -104.83V
17.80A     -58.75V     298.00V    -110.46V
17.90A     -58.10V     342.21V    -120.36V
18.00A     -50.72V     327.30V    -131.03V
18.10A     -44.97V     347.30V    -134.00V
18.20A     -36.69V     343.92V    -130.08V
18.30A     -34.34V     333.20V    -129.85V
18.40A     -28.08V     310.79V    -137.56V
18.50A     -22.59V     329.11V    -149.10V
18.60A     -14.43V     323.55V    -155.88V
18.70A      -9.05V     299.95V    -163.48V
18.80A      -3.15V     348.96V    -156.24V
18.90A       2.90V     333.02V    -158.45V
19.00A       9.40V     323.74V    -166.70V
19.10A      15.88V     313.35V    -168.10V
19.20A      19.82V     307.41V    -173.42V
19.30A      23.87V     297.17V    -194.90V
19.40A      28.92V     306.62V    -174.54V
19.50A      33.45V     295.85V    -170.79V
19.60A      37.39V     311.04V    -173.29V
19.70A      41.84V     311.23V    -189.98V
19.80A      44.70V     301.42V    -184.39V
19.90A      42.28V     296.01V    -197.66V
20.00A      50.81V     305.03V    -205.11V
20.10A      47.94V     309.38V    -212.09V
20.20A      48.69V     318.69V    -213.92V
20.30A      52.50V     289.28V    -199.24V
20.40A      52.05V     296.27V    -211.76V
20.50A      51.57V     285.01V    -204.71V
20.60A      50.93V     272.82V    -222.44V
20.70A      45.46V     277.34V    -236.73V
20.80A      46.79V     277.47V    -218.57V
20.90A      43.65V     267.13V    -227.06V
21.00A      40.93V     282.85V    -224.96V
21.10A      35.88V     275.34V    -241.16V
21.20A      31.92V     265.21V    -229.20V
21.30A      29.36V     268.49V    -245.54V
21.40A      25.94V     277.33V    -215.56V
21.50A      23.47V     248.13V    -226.42V
21.60A      17.26V     266.83V    -254.17V
21.70A      13.60V     275.84V    -240.05V
21.80A       9.12V     266.46V    -239.57V
21.90A       4.14V     247.76V    -244.19V
22.00A      -0.36V     259.55V    -263.15V
22.10A      -4.99V     259.75V    -243.87V
22.20A      -8.99V     237.10V    -249.82V
22.30A     -13.26V     262.39V    -242.06V
22.40A     -20.17V     247.95V    -240.62V
22.50A     -19.39V     253.87V    -243.40V
22.60A     -25.52V     270.49V    -249.70V
22.70A     -26.30V     239.44V    -231.05V
22.80A     -28.27V     265.56V    -253.63V
22.90A     -34.13V     219.64V    -244.71V
23.00A     -34.33V     237.95V    -258.50V
23.10A     -35.86V     214.07V    -216.09V
23.20A     -38.77V     218.62V    -263.89V
23.30A     -35.95V     252.74V    -228.79V
23.40A     -37.47V     229.73V    -241.13V
23.50A     -37.73V     219.46V    -248.13V
23.60A     -35.30V     218.90V    -245.15V
23.70A     -38.00V     232.53V    -252.02V
23.80A     -33.37V     211.64V    -233.13V
23.90A     -34.77V     215.78V    -239.74V
24.00A     -33.33V     229.85V    -238.49V
24.10A     -29.80V     230.44V    -223.16V
24.20A     -28.86V     196.33V    -240.31V
24.30A     -24.99V     184.78V    -260.80V
24.40A     -23.69V     197.65V    -238.20V
24.50A     -19.69V     181.02V    -266.44V
24.60A     -18.27V     208.55V    -234.19V
24.70A     -14.79V     191.07V    -239.14V
24.80A     -11.41V     180.79V    -220.87V
24.90A      -7.98V     179.15V    -231.88V
25.00A      -3.84V     165.41V    -241.33V
25.10A      -1.06V     189.62V    -226.18V
25.20A       2.22V     189.29V    -219.43V
25.30A       5.54V     180.20V    -254.24V
25.40A       8.25V     172.16V    -207.81V
25.50A      11.10V     176.81V    -225.74V
25.60A      13.60V     151.49V    -223.03V
25.70A      16.76V     155.81V    -228.96V
25.80A      19.33V     157.39V    -230.74V
25.90A      19.93V     163.11V    -235.98V
26.00A      23.90V     161.01V    -195.38V
26.10A      24.35V     159.21V    -210.43V
26.20A      24.50V     146.50V    -202.86V
26.30A      26.28V     155.65V    -210.63V
26.40A      27.36V     143.24V    -215.50V
26.50A      27.84V     134.53V    -186.29V
26.60A      27.25V     137.99V    -191.06V
26.70A      29.47V     143.69V    -188.27V
26.80A      25.37V     142.10V    -190.13V
26.90A      26.37V     124.03V    -190.67V
27.00A      24.68V     127.05V    -178.19V
27.10A      24.76V     129.81V    -167.02V
27.20A      23.35V     119.91V    -170.62V
27.30A      20.73V     129.27V    -175.35V
27.40A      22.11V     114.98V    -166.66V
27.50A      17.65V     119.65V    -148.93V
27.60A      15.95V     124.32V    -162.28V
27.70A      15.11V     108.55V    -135.38V
27.80A      11.13V      97.30V    -150.94V
27.90A       9.38V      96.01V    -155.44V
28.00A       6.54V      98.98V    -139.70V
28.10A       4.43V      95.86V    -143.56V
28.20A       1.87V     100.53V    -136.21V
28.30A      -0.64V      96.22V    -137.54V
28.40A      -2.83V      85.27V    -125.28V
28.50A      -4.92V      91.05V    -120.44V
28.60A      -6.99V      79.67V    -119.09V
28.70A     -10.05V      79.97V    -113.02V
28.80A      -9.97V      73.87V    -119.60V
28.90A     -12.25V      74.12V    -100.54V
29.00A     -13.91V      71.60V    -101.04V
29.10A     -15.29V      69.63V    -101.83V
29.20A     -17.89V      63.75V     -90.83V
29.30A     -18.23V      61.17V     -93.69V
29.40A     -17.75V      57.28V     -85.85V
29.50A     -20.51V      56.18V     -80.50V
29.60A     -20.77V      57.47V     -83.46V
29.70A     -22.25V      56.28V     -75.39V
29.80A     -20.30V      48.79V     -66.65V
29.90A     -19.81V      42.38V     -67.71V
30.00A     -19.84V      42.85V     -59.47V
30.10A     -17.59V      39.74V     -55.98V
30.20A     -18.52V      37.59V     -51.40V
30.30A     -16.21V      32.98V     -47.59V
30.40A     -15.67V      33.06V     -43.06V
30.50A     -13.89V      29.58V     -39.49V
30.60A     -13.81V      22.84V     -34.28V
30.70A     -12.34V      21.03V     -31.66V
30.80A     -10.27V      19.10V     -24.72V
30.90A      -8.85V      14.99V     -21.49V
31.00A      -7.52V      11.81V     -18.50V
31.10A      -5.22V       9.58V     -12.89V
31.20A      -4.02V       6.51V      -9.45V
31.30A      -2.04V       3.44V      -5.07V
31.40A      -0.27V       0.47V      -0.73V
31.50A       1.46V      -2.53V       3.42V
31.60A       3.07V      -5.20V       8.10V
31.70A       4.78V      -7.84V      12.21V
31.80A       5.85V     -10.29V      14.57V
31.90A       7.75V     -15.04V      21.76V
32.00A       9.11V     -17.30V      25.12V
32.10A      10.23V     -20.47V      26.36V
32.20A      11.36V     -22.33V      31.92V
32.30A      11.67V     -26.22V      34.31V
32.40A      14.23V     -27.14V      40.38V
32.50A      15.94V     -30.30V      42.75V
32.60A      15.78V     -32.94V      49.29V
32.70A      13.93V     -39.99V      51.50V
32.80A      15.22V     -39.47V      54.95V
32.90A      14.37V     -45.23V      67.93V
33.00A      14.96V     -46.80V      58.20V
33.10A      14.80V     -49.59V      70.64V
33.20A      13.94V     -49.97V      69.12V
33.30A      13.76V     -54.34V      76.24V
33.40A      13.39V     -57.19V      85.40V
33.50A      12.10V     -63.73V      84.32V
33.60A      10.60V     -60.48V      87.23V
33.70A      11.33V     -66.55V      85.86V
33.80A       9.55V     -70.73V      89.84V
33.90A       8.16V     -72.54V      91.52V
34.00A       6.60V     -68.89V     101.32V
34.10A       5.86V     -77.03V      99.98V
34.20A       4.92V     -76.71V     106.98V
34.30A       3.31V     -84.74V     111.53V
34.40A       2.13V     -76.86V     116.52V
34.50A       0.74V     -84.84V     111.79V
34.60A      -0.54V     -88.95V     118.76V
34.70A      -1.71V     -86.43V     123.14V
34.80A      -2.71V     -84.71V     132.47V
34.90A      -4.29V     -92.62V     128.97V
35.00A      -5.25V     -99.30V     135.85V
35.10A      -6.34V     -99.15V     127.29V
35.20A      -6.64V    -101.03V     137.72V
35.30A      -7.23V    -112.11V     139.95V
35.40A      -8.62V     -94.76V     149.23V
35.50A      -9.57V    -105.11V     143.05V
35.60A      -9.61V    -117.04V     142.71V
35.70A      -9.92V    -121.26V     142.08V
35.80A     -10.69V    -135.71V     138.25V
35.90A     -11.07V    -113.94V     154.65V
36.00A     -10.20V    -126.30V     161.94V
36.10A     -11.04V    -116.58V     151.10V
36.20A     -11.44V    -117.11V     157.55V
36.30A     -11.08V    -125.99V     165.52V
36.40A     -10.43V    -132.09V     159.42V
36.50A      -9.76V    -137.89V     164.76V
36.60A      -9.71V    -140.57V     154.72V
36.70A      -8.04V    -141.90V     167.34V
36.80A      -8.16V    -151.56V     174.82V
36.90A      -6.92V    -153.85V     162.47V
37.00A      -6.58V    -150.00V     163.22V
37.10A      -5.76V    -137.21V     175.89V
37.20A      -4.90V    -145.89V     163.88V
37.30A      -3.77V    -143.97V     174.75V
37.40A      -3.09V    -142.12V     178.39V
37.50A      -2.01V    -158.32V     180.75V
37.60A      -0.84V    -150.96V     177.20V
37.70A       0.01V    -169.15V     166.03V
37.80A       0.94V    -164.04V     181.70V
37.90A       1.89V    -173.93V     183.72V
38.00A       2.65V    -159.41V     199.96V
38.10A       3.60V    -153.29V     172.31V
38.20A       4.16V    -166.31V     178.44V
38.30A       4.49V    -154.90V     181.71V
38.40A       5.39V    -171.30V     182.53V
38.50A       6.45V    -179.11V     182.15V
38.60A       6.66V    -177.55V     178.55V
38.70A       6.94V    -189.02V     167.00V
38.80A       7.52V    -177.49V     172.13V
38.90A       8.13V    -181.37V     183.09V
39.00A       8.09V    -197.68V     179.74V
39.10A       7.78V    -169.76V     204.44V
39.20A       7.96V    -196.81V     190.38V
39.30A       8.00V    -178.17V     194.63V
39.40A       7.48V    -191.06V     183.96V
39.50A       7.98V    -205.35V     190.18V
39.60A       6.71V    -202.44V     185.87V
39.70A       7.10V    -202.62V     188.14V
39.80A       6.47V    -192.99V     176.75V
39.90A       5.72V    -199.25V     171.16V
40.00A       5.33V    -166.31V     178.31V
40.10A       5.41V    -196.74V     175.92V
40.20A       4.10V    -214.48V     163.42V
40.30A       3.85V    -206.68V     158.56V
40.40A       2.84V    -217.84V     161.43V
40.50A       2.42V    -204.51V     163.13V
40.60A       1.59V    -209.17V     186.47V
40.70A       0.96V    -219.16V     183.45V
40.80A       0.29V    -201.13V     166.02V
40.90A      -0.38V    -207.64V     175.48V
41.00A      -1.11V    -214.79V     168.31V
41.10A      -1.74V    -230.33V     164.68V
41.20A      -2.17V    -217.95V     169.85V
41.30A      -2.81V    -210.00V     150.17V
41.40A      -3.55V    -219.85V     159.74V
41.50A      -3.93V    -213.96V     159.27V
41.60A      -4.53V    -227.36V     143.24V
41.70A      -4.67V    -224.50V     158.59V
41.80A      -5.14V    -204.63V     155.99V
41.90A      -5.63V    -221.62V     146.07V
42.00A      -5.40V    -217.88V     148.11V
42.10A      -5.57V    -236.56V     149.12V
42.20A      -6.06V    -218.08V     140.77V
42.30A      -5.66V    -225.23V     138.75V
42.40A      -6.16V    -219.11V     140.74V
42.50A      -5.39V    -236.84V     140.89V
42.60A      -5.34V    -213.50V     135.99V
42.70A      -5.44V    -240.00V     123.83V
42.80A      -5.05V    -240.32V     121.79V
42.90A      -4.77V    -237.60V     131.31V
43.00A      -4.53V    -256.28V     115.38V
43.10A      -3.88V    -235.74V     122.54V
43.20A      -3.65V    -227.71V     128.32V
43.30A      -3.47V    -253.25V     124.48V
43.40A      -2.80V    -250.03V     109.25V
43.50A      -2.23V    -241.56V     108.44V
43.60A      -1.87V    -229.56V     104.47V
43.70A      -1.48V    -262.42V      96.92V
43.80A      -0.91V    -242.53V      99.03V
43.90A      -0.42V    -249.52V      98.66V
44.00A       0.09V    -238.53V      98.95V
44.10A       0.55V    -248.81V      91.11V
44.20A       1.00V    -234.77V      97.30V
44.30A       1.52V    -245.98V      86.09V
44.40A       1.92V    -232.65V      88.92V
44.50A       2.18V    -239.28V      87.22V
44.60A       2.85V    -267.13V      77.36V
44.70A       2.98V    -252.43V      73.37V
44.80A       3.30V    -252.61V      67.00V
44.90A       3.60V    -264.80V      75.16V
45.00A       3.67V    -255.33V      67.90V
45.10A       4.21V    -248.15V      65.35V
45.20A       3.90V    -270.13V      58.52V
45.30A       3.97V    -256.79V      59.26V
45.40A       4.26V    -241.73V      53.19V
45.50A       4.17V    -243.87V      51.91V
45.60A       3.96V    -265.78V      48.31V
45.70A       4.30V    -246.94V      46.12V
45.80A       4.22V    -263.78V      40.38V
45.90A       3.52V    -255.60V      38.68V
46.00A       3.82V    -218.80V      34.01V
46.10A       3.47V    -244.40V      29.25V
46.20A       3.16V    -257.29V      29.50V
46.30A       3.07V    -258.23V      26.51V
46.40A       2.71V    -243.61V      23.58V
46.50A       2.18V    -279.77V      20.50V
46.60A       1.88V    -255.09V      14.95V
46.70A       1.68V    -239.63V      13.41V
46.80A       1.28V    -239.75V      11.29V
46.90A       0.83V    -274.58V       6.73V
47.00A       0.43V    -226.37V       3.50V
47.10A       0.09V    -217.21V       0.69V
47.20A      -0.27V    -251.80V      -2.40V
47.30A      -0.62V    -252.31V      -5.23V
47.40A      -0.93V    -236.51V      -8.42V
47.50A      -1.30V    -258.44V     -11.81V
47.60A      -1.59V    -274.32V     -14.06V
47.70A      -1.88V    -255.41V     -19.13V
47.80A      -2.11V    -245.30V     -20.55V
47.90A      -2.28V    -255.10V     -23.08V
48.00A      -2.55V    -237.85V     -26.78V
48.10A      -2.45V    -258.26V     -29.52V
48.20A      -2.66V    -242.63V     -33.32V
48.30A      -3.07V    -239.06V     -36.93V
48.40A      -2.83V    -240.02V     -39.57V
48.50A      -3.02V    -254.66V     -41.83V
48.60A      -2.74V    -238.92V     -45.44V
48.70A      -2.98V    -241.88V     -46.61V
48.80A      -3.00V    -266.18V     -50.13V
48.90A      -2.85V    -211.68V     -58.86V
49.00A      -2.83V    -247.14V     -61.12V
49.10A      -2.60V    -247.31V     -60.20V
49.20A      -2.55V    -225.98V     -61.78V
49.30A      -2.17V    -238.54V     -58.44V
49.40A      -2.14V    -244.79V     -73.59V
49.50A      -1.86V    -237.87V     -71.25V
49.60A      -1.93V    -213.04V     -69.36V
49.70A      -1.44V    -235.79V     -72.41V
49.80A      -1.23V    -217.40V     -75.25V
49.90A      -0.88V    -211.61V     -76.22V
50.00A      -0.66V    -236.65V     -76.83V
50.10A      -0.44V    -238.54V     -81.98V
50.20A      -0.18V    -251.88V     -85.09V
50.30A       0.08V    -231.46V     -83.77V
50.40A       0.37V    -234.04V     -91.93V
50.50A       0.54V    -233.49V     -88.80V
50.60A       0.83V    -205.44V     -93.86V
50.70A       1.05V    -220.35V     -90.13V
50.80A       1.36V    -225.62V     -89.64V
50.90A       1.51V    -233.79V    -103.89V
51.00A       1.68V    -224.84V     -99.81V
51.10A       1.82V    -205.82V    -102.66V
51.20A       2.09V    -210.68V     -95.60V
51.30A       1.90V    -208.02V    -116.02V
51.40A       1.99V    -205.65V    -114.55V
51.50A       2.01V    -216.75V    -125.57V
51.60A       2.25V    -215.87V    -108.20V
51.70A       2.19V    -211.11V    -118.22V
51.80A       2.24V    -213.76V    -120.71V
51.90A       2.23V    -186.40V    -124.07V
52.00A       2.45V    -208.51V    -116.04V
52.10A       2.12V    -206.21V    -114.29V
52.20A       1.96V    -219.70V    -128.70V
52.30A       2.11V    -203.31V    -117.32V
52.40A       1.70V    -218.23V    -119.20V
52.50A       1.63V    -196.72V    -125.94V
52.60A       1.40V    -216.06V    -128.38V
52.70A       1.31V    -202.74V    -127.99V
52.80A       1.15V    -199.24V    -128.02V
52.90A       1.00V    -200.62V    -129.03V
53.00A       0.79V    -198.83V    -129.25V
53.10A       0.58V    -185.81V    -124.32V
53.20A       0.41V    -177.28V    -134.92V
53.30A       0.21V    -192.70V    -134.25V
53.40A       0.01V    -194.31V    -133.03V
53.50A      -0.16V    -193.61V    -134.62V
53.60A      -0.36V    -185.05V    -124.44V
53.70A      -0.59V    -178.29V    -123.32V
53.80A      -0.69V    -184.46V    -137.12V
53.90A      -0.86V    -199.07V    -133.35V
54.00A      -1.01V    -181.22V    -137.16V
54.10A      -1.14V    -188.44V    -144.81V
54.20A      -1.29V    -164.10V    -137.04V
54.30A      -1.37V    -167.98V    -129.19V
54.40A      -1.48V    -173.15V    -132.68V
54.50A      -1.49V    -170.25V    -146.65V
54.60A      -1.70V    -165.23V    -132.33V
54.70A      -1.53V    -174.44V    -128.48V
54.80A      -1.62V    -178.09V    -132.50V
54.90A      -1.71V    -162.97V    -121.30V
55.00A      -1.56V    -185.55V    -127.89V
55.10A      -1.57V    -160.21V    -126.88V
55.20A      -1.48V    -155.42V    -134.80V
55.30A      -1.52V    -143.51V    -136.46V
55.40A      -1.54V    -146.37V    -130.63V
55.50A      -1.36V    -154.51V    -122.30V
55.60A      -1.25V    -148.58V    -118.19V
55.70A      -1.20V    -145.05V    -135.97V
55.80A      -0.93V    -136.13V    -129.62V
55.90A      -0.90V    -149.41V    -134.17V
56.00A      -0.77V    -142.37V    -119.71V
56.10A      -0.60V    -156.24V    -121.44V
56.20A      -0.53V    -125.62V    -114.46V
56.30A      -0.36V    -133.63V    -122.23V
56.40A      -0.23V    -144.36V    -131.35V
56.50A      -0.07V    -130.64V    -129.67V
56.60A       0.07V    -135.88V    -118.55V
56.70A       0.22V    -133.73V    -120.56V
56.80A       0.35V    -123.78V    -122.02V
56.90A       0.45V    -117.54V    -112.99V
57.00A       0.52V    -134.07V    -115.10V
57.10A       0.73V    -115.84V    -120.19V
57.20A       0.78V    -122.80V    -114.07V
57.30A       0.90V    -113.93V    -125.81V
57.40A       0.95V    -109.84V    -106.78V
57.50A       1.03V    -107.26V    -112.63V
57.60A       1.10V    -116.06V    -103.12V
57.70A       1.16V    -100.52V    -107.48V
57.80A       1.09V    -108.40V    -104.05V
57.90A       1.19V     -98.80V    -110.86V
58.00A       1.30V    -105.05V    -109.84V
58.10A       1.20V    -114.57V     -97.79V
58.20A       1.25V     -98.74V    -100.91V
58.30A       1.13V     -90.43V     -97.37V
58.40A       1.06V     -97.84V     -93.90V
58.50A       1.03V     -91.97V     -91.33V
58.60A       0.97V     -91.78V     -98.71V
58.70A       0.92V     -88.91V     -95.96V
58.80A       0.96V     -92.41V     -98.29V
58.90A       0.78V     -80.64V     -89.18V
59.00A       0.71V     -78.75V     -86.98V
59.10A       0.66V     -80.55V     -82.85V
59.20A       0.46V     -75.18V     -81.81V
59.30A       0.41V     -70.88V     -76.23V
59.40A       0.30V     -66.95V     -73.05V
59.50A       0.21V     -77.18V     -67.17V
59.60A       0.10V     -80.69V     -77.80V
59.70A      -0.01V     -69.47V     -70.62V
59.80A      -0.11V     -64.15V     -73.01V
59.90A      -0.21V     -64.81V     -67.64V
60.00A      -0.31V     -60.56V     -67.58V
60.10A      -0.38V     -59.61V     -58.71V
60.20A      -0.50V     -56.96V     -59.59V
60.30A      -0.53V     -57.24V     -54.72V
60.40A      -0.63V     -54.28V     -58.28V
60.50A      -0.69V     -47.36V     -55.10V
60.60A      -0.77V     -48.11V     -51.96V
60.70A      -0.80V     -43.59V     -47.09V
60.80A      -0.86V     -48.00V     -48.01V
60.90A      -0.84V     -43.74V     -42.49V
61.00A      -0.87V     -39.88V     -42.36V
61.10A      -0.91V     -38.11V     -39.16V
61.20A      -0.89V     -36.36V     -33.95V
61.30A      -0.93V     -31.62V     -38.68V
61.40A      -0.83V     -30.95V     -32.66V
61.50A      -0.87V     -31.28V     -31.49V
61.60A      -0.88V     -26.51V     -29.80V
61.70A      -0.72V     -23.93V     -23.80V
61.80A      -0.71V     -23.20V     -21.61V
61.90A      -0.68V     -18.83V     -22.26V
62.00A      -0.61V     -17.51V     -19.22V
62.10A      -0.59V     -15.79V     -15.30V
62.20A      -0.46V     -13.98V     -14.07V
62.30A      -0.38V     -11.43V     -12.20V
62.40A      -0.33V      -8.87V     -10.15V
62.50A      -0.27V      -6.97V      -7.87V
62.60A      -0.20V      -5.06V      -5.65V
62.70A      -0.10V      -3.04V      -3.08V
62.80A      -0.02V      -0.62V      -0.68V
62.90A       0.05V       1.44V       1.57V
63.00A       0.12V       3.40V       3.77V
63.10A       0.21V       5.35V       6.33V
63.20A       0.27V       8.01V       7.90V
63.30A       0.32V       9.65V      10.80V
63.40A       0.41V      12.36V      13.80V
63.50A       0.43V      14.71V      15.31V
63.60A       0.48V      16.40V      16.22V
63.70A       0.55V      19.53V      18.86V
63.80A       0.53V      19.44V      22.30V
63.90A       0.60V      23.30V      23.40V
64.00A       0.61V      27.10V      25.26V
64.10A       0.61V      25.69V      27.24V
64.20A       0.67V      30.53V      27.32V
64.30A       0.70V      30.37V      33.92V
64.40A       0.63V      31.31V      35.18V
